Unnamed: 0,product_name,monthday,ons_item_no,store,offer,ons_item_name,std_price,timestamp,month,week,unit_price,ML_score,item_price_num
27,BALTONA WHITE BREAD 800G,20161103,210111.0,SAINSBURY,,"White Sliced Loaf, branded",0.0,2016-11-03 06:04:14.527962,201611.0,201644.0,0.15,1.0,1.2
43,"COUNTRY KITCHENS BAKERY, TIGER LOAF",20161103,210111.0,WAITROSE,,"White Sliced Loaf, branded",4.69,2016-11-03 06:13:35.945594,201611.0,201644.0,0.469,1.0,1.69
59,CRUSTY WHITE BLOOMER 400G,20161103,210111.0,TESCO,,"White Sliced Loaf, branded",1.8,2016-11-03 06:00:13.522099,201611.0,201644.0,0.18,1.0,0.7
75,CRUSTY WHITE BLOOMER 800G,20161103,210111.0,TESCO,,"White Sliced Loaf, branded",1.3,2016-11-03 06:00:13.530214,201611.0,201644.0,0.13,1.0,1.0
91,CRUSTY WHITE BLOOMER SLICED 400G,20161103,210111.0,TESCO,,"White Sliced Loaf, branded",1.8,2016-11-03 06:00:13.559765,201611.0,201644.0,0.18,1.0,0.7
107,CRUSTY WHITE BLOOMER SLICED 800G,20161103,210111.0,TESCO,,"White Sliced Loaf, branded",1.3,2016-11-03 06:00:13.547385,201611.0,201644.0,0.13,1.0,1.0
123,CRUSTY WHITE FARMHOUSE LOAF 400G,20161103,210111.0,TESCO,,"White Sliced Loaf, branded",1.8,2016-11-03 06:00:13.545323,201611.0,201644.0,0.18,1.0,0.7
139,CRUSTY WHITE FARMHOUSE LOAF SLICED 400G,20161103,210111.0,TESCO,,"White Sliced Loaf, branded",1.8,2016-11-03 06:00:11.155881,201611.0,201644.0,0.18,1.0,0.7
155,CRUSTY WHITE FARMHOUSE LOAF SLICED 800G,20161103,210111.0,TESCO,,"White Sliced Loaf, branded",1.3,2016-11-03 06:00:11.108566,201611.0,201644.0,0.13,1.0,1.0
171,CRUSTY WHITE SANDWICH LOAF 800G,20161103,210111.0,TESCO,,"White Sliced Loaf, branded",1.3,2016-11-03 06:00:11.158240,201611.0,201644.0,0.13,1.0,1.0
187,CRUSTY WHITE SANDWICH LOAF SLICED 800G,20161103,210111.0,TESCO,,"White Sliced Loaf, branded",1.3,2016-11-03 06:00:13.528177,201611.0,201644.0,0.13,1.0,1.0
203,CRUSTY WHITE SPLIT TIN 400G,20161103,210111.0,TESCO,,"White Sliced Loaf, branded",1.8,2016-11-03 06:00:13.543301,201611.0,201644.0,0.18,1.0,0.7
219,CRUSTY WHITE SPLIT TIN 800G,20161103,210111.0,TESCO,,"White Sliced Loaf, branded",1.3,2016-11-03 06:00:13.555682,201611.0,201644.0,0.13,1.0,1.0
235,CRUSTY WHITE SPLIT TIN SLICED 400G,20161103,210111.0,TESCO,,"White Sliced Loaf, branded",1.8,2016-11-03 06:00:15.648944,201611.0,201644.0,0.18,1.0,0.7
251,CRUSTY WHITE SPLIT TIN SLICED 800G,20161103,210111.0,TESCO,,"White Sliced Loaf, branded",1.3,2016-11-03 06:00:13.557704,201611.0,201644.0,0.13,1.0,1.0
267,ESSENTIAL WAITROSE WHITE MEDIUM SLICED BREAD,20161103,210111.0,WAITROSE,,"White Sliced Loaf, branded",0.56,2016-11-03 06:13:35.933864,201611.0,201644.0,0.056,1.0,0.45
283,FINEST SEA SALT AND BLACK PEPPER WHITE COB,20161103,210111.0,TESCO,,"White Sliced Loaf, branded",1.67,2016-11-03 06:00:15.651032,201611.0,201644.0,1.67,1.0,1.0
299,FINEST WHITE COB 800G,20161103,210111.0,TESCO,,"White Sliced Loaf, branded",1.25,2016-11-03 06:00:11.121481,201611.0,201644.0,1.25,1.0,1.0
326,HOVIS FARMHOUSE WHITE 800G,20161103,210111.0,TESCO,,"White Sliced Loaf, branded",1.3,2016-11-03 06:00:13.553605,201611.0,201644.0,0.13,1.0,1.0
351,"HOVIS SOFT WHITE BREAD, DOORSTEP 800G",20161103,210111.0,SAINSBURY,,"White Sliced Loaf, branded",0.0,2016-11-03 06:04:14.530853,201611.0,201644.0,0.13,1.0,1.0
367,"HOVIS SOFT WHITE BREAD, MEDIUM SLICED 400G",20161103,210111.0,SAINSBURY,,"White Sliced Loaf, branded",0.0,2016-11-03 06:04:14.533296,201611.0,201644.0,0.15,1.0,0.6
383,"HOVIS SOFT WHITE BREAD, MEDIUM SLICED 800G",20161103,210111.0,SAINSBURY,,"White Sliced Loaf, branded",0.0,2016-11-03 06:04:14.535870,201611.0,201644.0,0.13,1.0,1.0
399,"HOVIS SOFT WHITE BREAD, THICK SLICED 800G",20161103,210111.0,SAINSBURY,,"White Sliced Loaf, branded",0.0,2016-11-03 06:04:14.538408,201611.0,201644.0,0.13,1.0,1.0
415,HOVIS SOFT WHITE DOORSTEP BREAD 800G,20161103,210111.0,TESCO,,"White Sliced Loaf, branded",1.1,2016-11-03 06:00:11.160578,201611.0,201644.0,0.11,1.0,0.9
431,HOVIS SOFT WHITE MEDIUM BREAD,20161103,210111.0,WAITROSE,,"White Sliced Loaf, branded",1.13,2016-11-03 06:13:35.887449,201611.0,201644.0,0.113,1.0,0.9
449,HOVIS SOFT WHITE MEDIUM BREAD 800G,20161103,210111.0,TESCO,,"White Sliced Loaf, branded",1.1,2016-11-03 06:00:11.056086,201611.0,201644.0,0.11,1.0,0.9
465,HOVIS SOFT WHITE THICK,20161103,210111.0,WAITROSE,,"White Sliced Loaf, branded",1.13,2016-11-03 06:13:35.929303,201611.0,201644.0,0.113,1.0,0.9
