,index,ons_name,type
0,0.0,"apple cider, bottle, 4.5%-5.5% abv",CLIP
1,0.0,"apple cider, bottle, 4.5%-5.5% abv",CLIP
2,0.0,"apple cider, bottle, 4.5%-5.5% abv",CLIP
3,0.0,"apple cider, bottle, 4.5%-5.5% abv",CLIP
4,0.0,"apple cider, bottle, 4.5%-5.5% abv",CLIP
5,0.0,"apple cider, bottle, 4.5%-5.5% abv",CLIP
6,0.0,"apple cider, bottle, 4.5%-5.5% abv",CLIP
7,0.0,"apple cider, bottle, 4.5%-5.5% abv",CLIP
8,0.0,"apples, dessert, per kg",Jevons
9,0.0,"apples, dessert, per kg",Jevons
10,0.0,"apples, dessert, per kg",Jevons
11,0.0,"apples, dessert, per kg",Jevons
12,0.0,"apples, dessert, per kg",Jevons
13,0.0,"apples, dessert, per kg",Jevons
14,0.0,"apples, dessert, per kg",Jevons
15,0.0,"apples, dessert, per kg",Jevons
16,0.0,"bananas, per kg",Jevons
17,0.0,"bananas, per kg",Jevons
18,0.0,"bananas, per kg",Jevons
19,0.0,"bananas, per kg",Jevons
20,0.0,"bananas, per kg",Jevons
21,0.0,"bananas, per kg",Jevons
22,0.0,"bananas, per kg",Jevons
23,0.0,"bananas, per kg",Jevons
24,0.0,"bitter, 4 cans, 3.4%-7.5% abv",jevons
25,0.0,"bitter, 4 cans, 3.4%-7.5% abv",jevons
26,0.0,"bitter, 4 cans, 3.4%-7.5% abv",jevons
27,0.0,"bitter, 4 cans, 3.4%-7.5% abv",jevons
28,0.0,"bitter, 4 cans, 3.4%-7.5% abv",jevons
29,0.0,"bitter, 4 cans, 3.4%-7.5% abv",jevons
30,0.0,"bitter, 4 cans, 3.4%-7.5% abv",jevons
31,0.0,"bitter, 4 cans, 3.4%-7.5% abv",jevons
32,0.0,"brandy, bottle",CLIP
33,0.0,"brandy, bottle",CLIP
34,0.0,"brandy, bottle",CLIP
35,0.0,"brandy, bottle",CLIP
36,0.0,"brandy, bottle",CLIP
37,0.0,"brandy, bottle",CLIP
38,0.0,"brandy, bottle",CLIP
39,0.0,"brandy, bottle",CLIP
40,0.0,"breakfast cereal 1, sugar/chocolate coated",CLIP
41,0.0,"breakfast cereal 1, sugar/chocolate coated",CLIP
42,0.0,"breakfast cereal 1, sugar/chocolate coated",CLIP
43,0.0,"breakfast cereal 1, sugar/chocolate coated",CLIP
44,0.0,"breakfast cereal 1, sugar/chocolate coated",CLIP
45,0.0,"breakfast cereal 1, sugar/chocolate coated",CLIP
46,0.0,"breakfast cereal 1, sugar/chocolate coated",CLIP
47,0.0,"breakfast cereal 1, sugar/chocolate coated",CLIP
48,0.0,"breakfast cereal 2, not sugar/chocolate coated",CLIP
49,0.0,"breakfast cereal 2, not sugar/chocolate coated",CLIP
50,0.0,"breakfast cereal 2, not sugar/chocolate coated",CLIP
51,0.0,"breakfast cereal 2, not sugar/chocolate coated",CLIP
52,0.0,"breakfast cereal 2, not sugar/chocolate coated",CLIP
53,0.0,"breakfast cereal 2, not sugar/chocolate coated",CLIP
54,0.0,"breakfast cereal 2, not sugar/chocolate coated",CLIP
55,0.0,"breakfast cereal 2, not sugar/chocolate coated",CLIP
56,0.0,"cheese cheddar, home produced, per kg",CLIP
57,0.0,"cheese cheddar, home produced, per kg",CLIP
58,0.0,"cheese cheddar, home produced, per kg",CLIP
59,0.0,"cheese cheddar, home produced, per kg",CLIP
60,0.0,"cheese cheddar, home produced, per kg",CLIP
61,0.0,"cheese cheddar, home produced, per kg",CLIP
62,0.0,"cheese cheddar, home produced, per kg",CLIP
63,0.0,"cheese cheddar, home produced, per kg",CLIP
64,0.0,"cola flavoured drink, bottle",CLIP
65,0.0,"cola flavoured drink, bottle",CLIP
66,0.0,"cola flavoured drink, bottle",CLIP
67,0.0,"cola flavoured drink, bottle",CLIP
68,0.0,"cola flavoured drink, bottle",CLIP
69,0.0,"cola flavoured drink, bottle",CLIP
70,0.0,"cola flavoured drink, bottle",CLIP
71,0.0,"cola flavoured drink, bottle",CLIP
72,0.0,"dry spaghetti or pasta, 500g",CLIP
73,0.0,"dry spaghetti or pasta, 500g",CLIP
74,0.0,"dry spaghetti or pasta, 500g",CLIP
