,Unnamed: 0,ons_item_name,period,CLIP,category
0,0,"apple cider, bottle, 4.5%-5.5% abv",201423.0,100.0,310218
1,1,"apple cider, bottle, 4.5%-5.5% abv",201424.0,100.449509323,310218
2,2,"apple cider, bottle, 4.5%-5.5% abv",201425.0,100.734703103,310218
3,3,"apple cider, bottle, 4.5%-5.5% abv",201426.0,100.661811128,310218
4,4,"apple cider, bottle, 4.5%-5.5% abv",201427.0,100.792834222,310218
5,5,"apple cider, bottle, 4.5%-5.5% abv",201428.0,100.861348312,310218
6,6,"apple cider, bottle, 4.5%-5.5% abv",201429.0,101.947861191,310218
7,7,"apple cider, bottle, 4.5%-5.5% abv",201430.0,101.920010206,310218
8,8,"apple cider, bottle, 4.5%-5.5% abv",201431.0,101.464310702,310218
9,9,"apple cider, bottle, 4.5%-5.5% abv",201432.0,100.417710593,310218
10,10,"apple cider, bottle, 4.5%-5.5% abv",201433.0,99.8392232243,310218
11,11,"apple cider, bottle, 4.5%-5.5% abv",201434.0,100.595922534,310218
12,12,"apple cider, bottle, 4.5%-5.5% abv",201435.0,101.037808404,310218
13,13,"apple cider, bottle, 4.5%-5.5% abv",201436.0,99.930327916,310218
14,14,"apple cider, bottle, 4.5%-5.5% abv",201437.0,100.105457549,310218
15,15,"apple cider, bottle, 4.5%-5.5% abv",201438.0,100.939979517,310218
16,16,"apple cider, bottle, 4.5%-5.5% abv",201439.0,100.399798593,310218
17,17,"apple cider, bottle, 4.5%-5.5% abv",201440.0,99.9267431992,310218
18,18,"apple cider, bottle, 4.5%-5.5% abv",201441.0,100.366533613,310218
19,19,"apple cider, bottle, 4.5%-5.5% abv",201442.0,100.206376251,310218
20,20,"apple cider, bottle, 4.5%-5.5% abv",201443.0,99.8639484791,310218
21,21,"apple cider, bottle, 4.5%-5.5% abv",201444.0,99.7797751887,310218
22,22,"apple cider, bottle, 4.5%-5.5% abv",201445.0,99.019947277,310218
23,23,"apple cider, bottle, 4.5%-5.5% abv",201446.0,99.4878756028,310218
24,24,"apple cider, bottle, 4.5%-5.5% abv",201447.0,99.9312721621,310218
25,25,"apple cider, bottle, 4.5%-5.5% abv",201448.0,99.5704809278,310218
26,26,"apple cider, bottle, 4.5%-5.5% abv",201449.0,97.7091770878,310218
27,27,"apple cider, bottle, 4.5%-5.5% abv",201450.0,97.6216207523,310218
28,28,"apple cider, bottle, 4.5%-5.5% abv",201451.0,96.9016750989,310218
29,29,"apple cider, bottle, 4.5%-5.5% abv",201452.0,97.2198252033,310218
30,30,"apple cider, bottle, 4.5%-5.5% abv",201501.0,97.4048008924,310218
31,31,"apple cider, bottle, 4.5%-5.5% abv",201502.0,97.5951675066,310218
32,32,"apple cider, bottle, 4.5%-5.5% abv",201503.0,97.5982508502,310218
33,33,"apple cider, bottle, 4.5%-5.5% abv",201504.0,98.835169384,310218
34,34,"apple cider, bottle, 4.5%-5.5% abv",201505.0,100.279860539,310218
35,35,"apple cider, bottle, 4.5%-5.5% abv",201506.0,100.071880827,310218
36,36,"apple cider, bottle, 4.5%-5.5% abv",201507.0,99.8806492143,310218
37,37,"apple cider, bottle, 4.5%-5.5% abv",201508.0,100.193739993,310218
38,38,"apple cider, bottle, 4.5%-5.5% abv",201509.0,99.9213741708,310218
39,39,"apple cider, bottle, 4.5%-5.5% abv",201510.0,99.4606155975,310218
40,40,"apple cider, bottle, 4.5%-5.5% abv",201511.0,98.3768318216,310218
41,41,"apple cider, bottle, 4.5%-5.5% abv",201512.0,98.9012248093,310218
42,42,"apple cider, bottle, 4.5%-5.5% abv",201513.0,94.4211815944,310218
43,43,"apple cider, bottle, 4.5%-5.5% abv",201514.0,93.6248274468,310218
44,44,"apple cider, bottle, 4.5%-5.5% abv",201515.0,96.6245004465,310218
45,45,"apple cider, bottle, 4.5%-5.5% abv",201516.0,99.4339469178,310218
46,46,"apple cider, bottle, 4.5%-5.5% abv",201517.0,102.375378435,310218
47,47,"apple cider, bottle, 4.5%-5.5% abv",201518.0,102.410813518,310218
48,48,"apple cider, bottle, 4.5%-5.5% abv",201519.0,101.654978959,310218
49,49,"apple cider, bottle, 4.5%-5.5% abv",201520.0,100.525060817,310218
50,50,"apple cider, bottle, 4.5%-5.5% abv",201521.0,97.1656395495,310218
51,51,"apple cider, bottle, 4.5%-5.5% abv",201522.0,97.744520331,310218
52,52,"apple cider, bottle, 4.5%-5.5% abv",201523.0,98.3934140771,310218
53,53,"apple cider, bottle, 4.5%-5.5% abv",201524.0,98.4847939974,310218
54,54,"apple cider, bottle, 4.5%-5.5% abv",201525.0,98.3628489017,310218
55,55,"apple cider, bottle, 4.5%-5.5% abv",201526.0,97.9295600257,310218
56,56,"apple cider, bottle, 4.5%-5.5% abv",201527.0,100.824416181,310218
57,57,"apple cider, bottle, 4.5%-5.5% abv",201528.0,100.782793603,310218
58,58,"apple cider, bottle, 4.5%-5.5% abv",201529.0,100.154318535,310218
59,59,"apple cider, bottle, 4.5%-5.5% abv",201530.0,100.049627308,310218
60,60,"apple cider, bottle, 4.5%-5.5% abv",201531.0,97.5886438674,310218
61,61,"apple cider, bottle, 4.5%-5.5% abv",201532.0,96.1037825038,310218
62,62,"apple cider, bottle, 4.5%-5.5% abv",201533.0,98.5425132624,310218
63,63,"apple cider, bottle, 4.5%-5.5% abv",201534.0,98.8066700904,310218
64,64,"apple cider, bottle, 4.5%-5.5% abv",201535.0,97.4617826682,310218
65,65,"apple cider, bottle, 4.5%-5.5% abv",201536.0,97.1632062629,310218
66,66,"apple cider, bottle, 4.5%-5.5% abv",201537.0,99.2199699408,310218
67,67,"apple cider, bottle, 4.5%-5.5% abv",201538.0,98.1462201595,310218
68,68,"apple cider, bottle, 4.5%-5.5% abv",201539.0,95.6745996458,310218
69,69,"apple cider, bottle, 4.5%-5.5% abv",201540.0,94.8452262788,310218
70,70,"apple cider, bottle, 4.5%-5.5% abv",201541.0,98.6826139669,310218
71,71,"apple cider, bottle, 4.5%-5.5% abv",201542.0,99.1709518972,310218
72,72,"apple cider, bottle, 4.5%-5.5% abv",201544.0,100.375375242,310218
73,73,"apple cider, bottle, 4.5%-5.5% abv",201545.0,99.432054769,310218
