,level_3,period,weighted_index
0,alcoholic_drinks ,20140601,100
1,alcoholic_drinks ,20140602,100.359698964
2,alcoholic_drinks ,20140603,100.004332764
3,alcoholic_drinks ,20140604,100.166205282
4,alcoholic_drinks ,20140605,100.025635466
5,alcoholic_drinks ,20140606,100.006577083
6,alcoholic_drinks ,20140607,100.008313004
7,alcoholic_drinks ,20140608,100.008313004
8,alcoholic_drinks ,20140609,100.039004586
9,alcoholic_drinks ,20140610,99.8326281166
10,alcoholic_drinks ,20140611,101.292321934
11,alcoholic_drinks ,20140612,99.5454917297
12,alcoholic_drinks ,20140613,99.5566096367
13,alcoholic_drinks ,20140614,99.4944084149
14,alcoholic_drinks ,20140615,99.5381548749
15,alcoholic_drinks ,20140616,100.031284565
16,alcoholic_drinks ,20140617,99.8153283106
17,alcoholic_drinks ,20140618,100.074604085
18,alcoholic_drinks ,20140619,99.7921881996
19,alcoholic_drinks ,20140620,99.7380479918
20,alcoholic_drinks ,20140621,99.7288752727
21,alcoholic_drinks ,20140622,99.7288752727
22,alcoholic_drinks ,20140623,99.7163764661
23,alcoholic_drinks ,20140624,99.7162890658
24,alcoholic_drinks ,20140625,100.079820061
25,alcoholic_drinks ,20140626,99.7767784496
26,alcoholic_drinks ,20140627,99.8463951028
27,alcoholic_drinks ,20140628,99.7686802581
28,alcoholic_drinks ,20140629,99.7686802581
29,alcoholic_drinks ,20140630,99.7686802581
30,alcoholic_drinks ,20140701,99.7686802581
31,alcoholic_drinks ,20140702,99.7686802581
32,alcoholic_drinks ,20140703,99.7686802581
33,alcoholic_drinks ,20140704,99.7686802581
34,alcoholic_drinks ,20140705,99.7686802581
35,alcoholic_drinks ,20140706,99.7686802581
36,alcoholic_drinks ,20140707,99.7686802581
37,alcoholic_drinks ,20140708,100.02185543
38,alcoholic_drinks ,20140709,100.108480319
39,alcoholic_drinks ,20140710,99.7598291746
40,alcoholic_drinks ,20140711,99.796926724
41,alcoholic_drinks ,20140712,99.7751334236
42,alcoholic_drinks ,20140713,99.8146552342
43,alcoholic_drinks ,20140714,99.8146552342
44,alcoholic_drinks ,20140715,99.8254601828
45,alcoholic_drinks ,20140716,100.294807953
46,alcoholic_drinks ,20140717,100.294807953
47,alcoholic_drinks ,20140718,100.144854759
48,alcoholic_drinks ,20140719,100.144854759
49,alcoholic_drinks ,20140720,100.132578457
50,alcoholic_drinks ,20140721,100.132578457
51,alcoholic_drinks ,20140722,100.340254338
52,alcoholic_drinks ,20140723,102.149430823
53,alcoholic_drinks ,20140724,102.149430823
54,alcoholic_drinks ,20140725,102.149430823
55,alcoholic_drinks ,20140726,102.149430823
56,alcoholic_drinks ,20140727,102.149430823
57,alcoholic_drinks ,20140728,102.158046354
58,alcoholic_drinks ,20140729,102.158046354
59,alcoholic_drinks ,20140730,100.860191907
60,alcoholic_drinks ,20140731,100.869368551
61,alcoholic_drinks ,20140801,100.854286474
62,alcoholic_drinks ,20140802,100.885875497
63,alcoholic_drinks ,20140803,100.862952489
64,alcoholic_drinks ,20140804,100.862952489
65,alcoholic_drinks ,20140805,100.909124233
66,alcoholic_drinks ,20140806,100.961057703
67,alcoholic_drinks ,20140807,100.821713977
68,alcoholic_drinks ,20140808,100.594403741
69,alcoholic_drinks ,20140809,100.664505243
70,alcoholic_drinks ,20140810,100.643040212
71,alcoholic_drinks ,20140811,100.643040212
72,alcoholic_drinks ,20140812,102.10604588
73,alcoholic_drinks ,20140813,100.7452657
74,alcoholic_drinks ,20140814,100.727917467
75,alcoholic_drinks ,20140815,100.41411486
76,alcoholic_drinks ,20140816,100.163494541
77,alcoholic_drinks ,20140817,100.161733006
78,alcoholic_drinks ,20140818,100.161733006
79,alcoholic_drinks ,20140819,100.028109163
80,alcoholic_drinks ,20140820,100.028109163
81,alcoholic_drinks ,20140821,99.955278183
82,alcoholic_drinks ,20140822,99.9454053073
83,alcoholic_drinks ,20140823,99.9454053073
84,alcoholic_drinks ,20140824,99.9390787953
85,alcoholic_drinks ,20140825,100.081350218
86,alcoholic_drinks ,20140826,99.7198963023
87,alcoholic_drinks ,20140827,99.9266492019
88,alcoholic_drinks ,20140828,99.878564094
89,alcoholic_drinks ,20140829,99.8442137754
90,alcoholic_drinks ,20140830,99.8296699637
91,alcoholic_drinks ,20140831,99.8296699637
92,alcoholic_drinks ,20140901,99.8296699637
93,alcoholic_drinks ,20140902,99.8258643588
94,alcoholic_drinks ,20140903,101.699668286
95,alcoholic_drinks ,20140904,99.3962882637
96,alcoholic_drinks ,20140905,99.0845808966
97,alcoholic_drinks ,20140906,98.976327784
98,alcoholic_drinks ,20140907,98.9651910419
99,alcoholic_drinks ,20140908,98.9652034903
100,alcoholic_drinks ,20140909,98.8251178807
101,alcoholic_drinks ,20140910,98.8494885879
102,alcoholic_drinks ,20140911,98.8494885879
103,alcoholic_drinks ,20140912,98.8625208568
104,alcoholic_drinks ,20140913,98.8370374757
105,alcoholic_drinks ,20140914,98.8152071104
106,alcoholic_drinks ,20140915,98.8383806932
107,alcoholic_drinks ,20140916,98.6959987249
108,alcoholic_drinks ,20140917,98.7855796424
109,alcoholic_drinks ,20140918,98.6068938129
110,alcoholic_drinks ,20140919,98.6370942711
111,alcoholic_drinks ,20140920,98.6459533849
112,alcoholic_drinks ,20140921,98.6459533849
113,alcoholic_drinks ,20140922,98.6459533849
114,alcoholic_drinks ,20140923,98.6459533849
115,alcoholic_drinks ,20140924,101.829286241
116,alcoholic_drinks ,20140925,101.829286241
117,alcoholic_drinks ,20140926,99.7309164006
118,alcoholic_drinks ,20140927,99.7406198867
119,alcoholic_drinks ,20140928,99.7193901806
120,alcoholic_drinks ,20140929,99.718304499
