,month,Chainedaverage,level
0,201422,100.0,alcoholic_drinks 
1,201424,99.7885771078,alcoholic_drinks 
2,201426,99.7071146291,alcoholic_drinks 
3,201428,99.8956448441,alcoholic_drinks 
4,201430,101.332590989,alcoholic_drinks 
5,201432,100.659997896,alcoholic_drinks 
6,201434,99.8540652242,alcoholic_drinks 
7,201436,99.1853146393,alcoholic_drinks 
8,201438,99.268938769,alcoholic_drinks 
9,201440,99.6359820315,alcoholic_drinks 
10,201442,99.7168677762,alcoholic_drinks 
11,201444,98.4780684823,alcoholic_drinks 
12,201446,97.8938851193,alcoholic_drinks 
13,201448,97.4617516595,alcoholic_drinks 
14,201450,96.1065085398,alcoholic_drinks 
15,201452,95.7061129964,alcoholic_drinks 
16,201500,96.4898082146,alcoholic_drinks 
17,201502,97.8681132314,alcoholic_drinks 
18,201504,98.1434001921,alcoholic_drinks 
19,201506,98.1251919305,alcoholic_drinks 
20,201508,97.924187539,alcoholic_drinks 
21,201510,97.882547531,alcoholic_drinks 
22,201512,97.4943674596,alcoholic_drinks 
23,201514,95.8748843708,alcoholic_drinks 
24,201516,96.5484223931,alcoholic_drinks 
25,201518,97.7616830027,alcoholic_drinks 
26,201520,97.235582768,alcoholic_drinks 
27,201522,96.7139529277,alcoholic_drinks 
28,201524,96.4216552361,alcoholic_drinks 
29,201526,96.4545108976,alcoholic_drinks 
30,201528,96.9275287981,alcoholic_drinks 
31,201530,96.774377192,alcoholic_drinks 
32,201532,96.7695519437,alcoholic_drinks 
33,201534,96.2400397534,alcoholic_drinks 
34,201536,95.2909840688,alcoholic_drinks 
35,201538,94.2266647327,alcoholic_drinks 
36,201540,93.7944134445,alcoholic_drinks 
37,201542,93.4816441139,alcoholic_drinks 
38,201544,92.886028589,alcoholic_drinks 
39,201546,92.2017253108,alcoholic_drinks 
40,201548,91.1330141701,alcoholic_drinks 
41,201550,89.9030572758,alcoholic_drinks 
42,201552,89.7301993245,alcoholic_drinks 
43,201600,90.5462165108,alcoholic_drinks 
44,201602,93.0647320118,alcoholic_drinks 
45,201604,93.3258473567,alcoholic_drinks 
46,201606,92.9291803394,alcoholic_drinks 
47,201608,92.3715099806,alcoholic_drinks 
48,201610,91.5186993465,alcoholic_drinks 
49,201612,91.4636347006,alcoholic_drinks 
50,201614,91.4059005913,alcoholic_drinks 
51,201616,91.4723900344,alcoholic_drinks 
52,201618,91.9375046419,alcoholic_drinks 
53,201620,90.9130505164,alcoholic_drinks 
54,201622,89.8612771646,alcoholic_drinks 
55,201624,89.9782882113,alcoholic_drinks 
56,201626,90.9575583799,alcoholic_drinks 
57,201628,91.226128904,alcoholic_drinks 
58,201630,90.5630261854,alcoholic_drinks 
59,201632,90.306766637,alcoholic_drinks 
60,201644,89.8394851678,alcoholic_drinks 
61,201422,100.0,food_and_non_alcoholic_beverages
62,201424,101.984932874,food_and_non_alcoholic_beverages
63,201426,101.627271189,food_and_non_alcoholic_beverages
64,201428,101.720871846,food_and_non_alcoholic_beverages
65,201430,101.40418235,food_and_non_alcoholic_beverages
66,201432,101.221251352,food_and_non_alcoholic_beverages
67,201434,101.096310952,food_and_non_alcoholic_beverages
68,201436,100.667889904,food_and_non_alcoholic_beverages
69,201438,101.193835408,food_and_non_alcoholic_beverages
70,201440,101.088910368,food_and_non_alcoholic_beverages
71,201442,100.666008429,food_and_non_alcoholic_beverages
72,201444,100.770507257,food_and_non_alcoholic_beverages
73,201446,101.322944135,food_and_non_alcoholic_beverages
74,201448,101.676945013,food_and_non_alcoholic_beverages
75,201450,101.520360752,food_and_non_alcoholic_beverages
76,201452,102.110776557,food_and_non_alcoholic_beverages
77,201500,101.672798021,food_and_non_alcoholic_beverages
78,201502,100.295825277,food_and_non_alcoholic_beverages
79,201504,99.6621377044,food_and_non_alcoholic_beverages
80,201506,99.8041459637,food_and_non_alcoholic_beverages
81,201508,99.4772878882,food_and_non_alcoholic_beverages
82,201510,98.7881553893,food_and_non_alcoholic_beverages
83,201512,99.2080179258,food_and_non_alcoholic_beverages
84,201514,99.3039848348,food_and_non_alcoholic_beverages
85,201516,99.4072655545,food_and_non_alcoholic_beverages
86,201518,99.3829827661,food_and_non_alcoholic_beverages
87,201520,99.2223046178,food_and_non_alcoholic_beverages
88,201522,99.3524201632,food_and_non_alcoholic_beverages
89,201524,99.14165624,food_and_non_alcoholic_beverages
90,201526,99.1494300424,food_and_non_alcoholic_beverages
91,201528,98.7260378333,food_and_non_alcoholic_beverages
92,201530,98.4821625161,food_and_non_alcoholic_beverages
93,201532,98.5464807359,food_and_non_alcoholic_beverages
94,201534,98.1209791278,food_and_non_alcoholic_beverages
95,201536,97.4642920851,food_and_non_alcoholic_beverages
96,201538,96.7313079381,food_and_non_alcoholic_beverages
97,201540,96.7019823285,food_and_non_alcoholic_beverages
98,201542,95.9989988322,food_and_non_alcoholic_beverages
99,201544,96.7008016722,food_and_non_alcoholic_beverages
