,month,Chainedaverage,level
0,201406,100,alcoholic_drinks 
1,201407,100.594790242,alcoholic_drinks 
2,201408,100.486692712,alcoholic_drinks 
3,201409,99.4320972603,alcoholic_drinks 
4,201410,99.7268475726,alcoholic_drinks 
5,201411,98.1735230252,alcoholic_drinks 
6,201412,96.3540334612,alcoholic_drinks 
7,201501,98.0626682169,alcoholic_drinks 
8,201502,98.2107768421,alcoholic_drinks 
9,201503,97.7879101276,alcoholic_drinks 
10,201504,96.5896935071,alcoholic_drinks 
11,201505,97.4674054877,alcoholic_drinks 
12,201506,96.6419633989,alcoholic_drinks 
13,201507,96.9690103424,alcoholic_drinks 
14,201508,96.6800032442,alcoholic_drinks 
15,201509,94.817139896,alcoholic_drinks 
16,201510,93.7654797666,alcoholic_drinks 
17,201511,92.1915032122,alcoholic_drinks 
18,201512,90.2531813222,alcoholic_drinks 
19,201601,93.1812767314,alcoholic_drinks 
20,201602,92.7954609245,alcoholic_drinks 
21,201603,91.6403278966,alcoholic_drinks 
22,201604,91.6051064964,alcoholic_drinks 
23,201605,91.4830951149,alcoholic_drinks 
24,201606,90.215026404,alcoholic_drinks 
25,201607,91.1989100065,alcoholic_drinks 
26,201608,90.5719757553,alcoholic_drinks 
27,201610,90.0503025437,alcoholic_drinks 
28,201611,89.9752083838,alcoholic_drinks 
29,201406,100,food_and_non_alcoholic_beverages
30,201407,100.305799904,food_and_non_alcoholic_beverages
31,201408,99.8552431715,food_and_non_alcoholic_beverages
32,201409,99.6307011892,food_and_non_alcoholic_beverages
33,201410,99.4815211003,food_and_non_alcoholic_beverages
34,201411,99.9439358178,food_and_non_alcoholic_beverages
35,201412,100.391388776,food_and_non_alcoholic_beverages
36,201501,98.8012910265,food_and_non_alcoholic_beverages
37,201502,98.3694366518,food_and_non_alcoholic_beverages
38,201503,97.7290335257,food_and_non_alcoholic_beverages
39,201504,98.0633249644,food_and_non_alcoholic_beverages
40,201505,97.9886833432,food_and_non_alcoholic_beverages
41,201506,97.8388341761,food_and_non_alcoholic_beverages
42,201507,97.425133192,food_and_non_alcoholic_beverages
43,201508,97.0412484585,food_and_non_alcoholic_beverages
44,201509,95.7806765986,food_and_non_alcoholic_beverages
45,201510,95.0243441997,food_and_non_alcoholic_beverages
46,201511,96.2040649808,food_and_non_alcoholic_beverages
47,201512,96.7784532593,food_and_non_alcoholic_beverages
48,201601,95.2446150027,food_and_non_alcoholic_beverages
49,201602,95.7300206368,food_and_non_alcoholic_beverages
50,201603,94.078720982,food_and_non_alcoholic_beverages
51,201604,89.8801386142,food_and_non_alcoholic_beverages
52,201605,90.4888410976,food_and_non_alcoholic_beverages
53,201606,91.3164893035,food_and_non_alcoholic_beverages
54,201607,91.0960510079,food_and_non_alcoholic_beverages
55,201608,91.1379632203,food_and_non_alcoholic_beverages
56,201610,90.7622811,food_and_non_alcoholic_beverages
57,201611,90.900573928,food_and_non_alcoholic_beverages
