,month,Chainedaverage,level
0,201406,100.0,210111.0
1,201407,99.6996924221,210111.0
2,201408,98.8253439076,210111.0
3,201409,97.3802904757,210111.0
4,201410,97.6924322677,210111.0
5,201411,98.1142867191,210111.0
6,201412,100.183594276,210111.0
7,201501,90.9476924638,210111.0
8,201502,85.4991651874,210111.0
9,201503,86.9714364893,210111.0
10,201504,92.0803079604,210111.0
11,201505,93.19064816,210111.0
12,201506,92.308968612,210111.0
13,201507,90.7452161039,210111.0
14,201508,90.5252008126,210111.0
15,201509,89.819840604,210111.0
16,201510,90.5419910504,210111.0
17,201511,88.6882455695,210111.0
18,201512,88.976666377,210111.0
19,201601,85.0238389698,210111.0
20,201602,82.3678417367,210111.0
21,201603,81.8028170834,210111.0
22,201604,81.7701810745,210111.0
23,201605,81.6893773953,210111.0
24,201606,81.5428869384,210111.0
25,201607,81.263192475,210111.0
26,201608,81.263192475,210111.0
27,201610,81.263192475,210111.0
28,201611,81.4792967691,210111.0
29,201406,100.0,210113.0
30,201407,99.6817569952,210113.0
31,201408,99.8978137417,210113.0
32,201409,98.7293456288,210113.0
33,201410,94.1800999265,210113.0
34,201411,96.4924691022,210113.0
35,201412,98.6782078137,210113.0
36,201501,94.4342933537,210113.0
37,201502,93.6343157792,210113.0
38,201503,93.3807387252,210113.0
39,201504,91.1924658574,210113.0
40,201505,90.5714560014,210113.0
41,201506,90.3996276776,210113.0
42,201507,89.3522610623,210113.0
43,201508,88.122743029,210113.0
44,201509,86.4343146899,210113.0
45,201510,86.5840170727,210113.0
46,201511,85.4532076269,210113.0
47,201512,85.1442164451,210113.0
48,201601,84.1002364075,210113.0
49,201602,83.0107186612,210113.0
50,201603,81.7389905934,210113.0
51,201604,82.1141419121,210113.0
52,201605,81.8803125665,210113.0
53,201606,81.6178646724,210113.0
54,201607,81.110674657,210113.0
55,201608,81.110674657,210113.0
56,201610,81.110674657,210113.0
57,201611,80.9848261831,210113.0
58,201406,100.0,210204.0
59,201407,97.6734734865,210204.0
60,201408,99.9113968531,210204.0
61,201409,101.546291024,210204.0
62,201410,101.413280619,210204.0
63,201411,98.2659033314,210204.0
64,201412,93.4813924348,210204.0
65,201501,90.0172213561,210204.0
66,201502,91.819604969,210204.0
67,201503,92.3712948672,210204.0
68,201504,92.5452403933,210204.0
69,201505,92.6589548044,210204.0
70,201506,91.5162362162,210204.0
71,201507,92.3381947083,210204.0
72,201508,95.1040735041,210204.0
73,201509,90.3932656428,210204.0
74,201510,90.2986533909,210204.0
75,201511,89.8439831699,210204.0
76,201512,88.0914497178,210204.0
77,201601,86.7489367898,210204.0
78,201602,94.9668345375,210204.0
79,201603,91.5606428072,210204.0
80,201604,90.4355224745,210204.0
81,201605,93.0308787657,210204.0
82,201606,91.4229764343,210204.0
83,201607,90.1643038867,210204.0
84,201608,89.8928796301,210204.0
85,201610,89.7695848541,210204.0
86,201611,89.5161443741,210204.0
87,201406,100.0,210213.0
88,201407,100.513766514,210213.0
89,201408,100.196192766,210213.0
90,201409,101.620108886,210213.0
91,201410,101.126744936,210213.0
92,201411,102.809677588,210213.0
93,201412,102.180520521,210213.0
