,month,Chainedaverage,level
0,201423,100.0,alcoholic_drinks 
1,201424,99.8155318004,alcoholic_drinks 
2,201425,99.7616296942,alcoholic_drinks 
3,201426,99.7279407774,alcoholic_drinks 
4,201427,99.68629283,alcoholic_drinks 
5,201428,99.7811003571,alcoholic_drinks 
6,201429,100.010320823,alcoholic_drinks 
7,201430,101.515245341,alcoholic_drinks 
8,201431,101.150265283,alcoholic_drinks 
9,201432,100.696232073,alcoholic_drinks 
10,201433,100.623776758,alcoholic_drinks 
11,201434,99.9178386355,alcoholic_drinks 
12,201435,99.7903325168,alcoholic_drinks 
13,201436,99.5962473585,alcoholic_drinks 
14,201437,98.7760774226,alcoholic_drinks 
15,201438,98.6121614001,alcoholic_drinks 
16,201439,99.9300904109,alcoholic_drinks 
17,201440,99.6393752763,alcoholic_drinks 
18,201441,99.6325889023,alcoholic_drinks 
19,201442,99.9521383958,alcoholic_drinks 
20,201443,99.4821509443,alcoholic_drinks 
21,201444,98.7802623454,alcoholic_drinks 
22,201445,98.1767991068,alcoholic_drinks 
23,201446,97.8775493351,alcoholic_drinks 
24,201447,97.91022363,alcoholic_drinks 
25,201448,97.8711944233,alcoholic_drinks 
26,201449,97.0540217939,alcoholic_drinks 
27,201450,96.1106794833,alcoholic_drinks 
28,201451,96.1023377772,alcoholic_drinks 
29,201452,95.7061129964,alcoholic_drinks 
30,201501,96.4898082146,alcoholic_drinks 
31,201502,97.7465160743,alcoholic_drinks 
32,201503,97.989861656,alcoholic_drinks 
33,201504,97.981809418,alcoholic_drinks 
34,201505,98.3052574603,alcoholic_drinks 
35,201506,98.2175584265,alcoholic_drinks 
36,201507,98.0329122985,alcoholic_drinks 
37,201508,97.9304455218,alcoholic_drinks 
38,201509,97.9179299561,alcoholic_drinks 
39,201510,97.9975475344,alcoholic_drinks 
40,201511,97.76768248,alcoholic_drinks 
41,201512,97.5387640939,alcoholic_drinks 
42,201513,97.4499910334,alcoholic_drinks 
43,201514,95.8897547527,alcoholic_drinks 
44,201515,95.8600162948,alcoholic_drinks 
45,201516,95.763721914,alcoholic_drinks 
46,201517,97.3395528108,alcoholic_drinks 
47,201518,97.8202816245,alcoholic_drinks 
48,201519,97.703119484,alcoholic_drinks 
49,201520,97.5440489564,alcoholic_drinks 
50,201521,96.9280920506,alcoholic_drinks 
51,201522,96.8067385093,alcoholic_drinks 
52,201523,96.6212562776,alcoholic_drinks 
53,201524,96.4353953823,alcoholic_drinks 
54,201525,96.4079170476,alcoholic_drinks 
55,201526,96.4087541348,alcoholic_drinks 
56,201527,96.5002893771,alcoholic_drinks 
57,201528,96.877916327,alcoholic_drinks 
58,201529,96.9771666764,alcoholic_drinks 
59,201530,96.7692017599,alcoholic_drinks 
60,201531,96.7795529008,alcoholic_drinks 
61,201532,96.7976564498,alcoholic_drinks 
62,201533,96.7414555974,alcoholic_drinks 
63,201534,96.4053390143,alcoholic_drinks 
64,201535,96.0750239191,alcoholic_drinks 
65,201536,95.6029513489,alcoholic_drinks 
66,201537,94.9800347864,alcoholic_drinks 
67,201538,94.426814056,alcoholic_drinks 
68,201539,94.0269396507,alcoholic_drinks 
69,201540,94.0690607866,alcoholic_drinks 
70,201541,93.5205679725,alcoholic_drinks 
71,201542,93.4635694145,alcoholic_drinks 
72,201543,93.5069545656,alcoholic_drinks 
73,201545,92.886028589,alcoholic_drinks 
74,201546,92.669549595,alcoholic_drinks 
75,201547,91.7362627471,alcoholic_drinks 
76,201548,91.1992379531,alcoholic_drinks 
77,201549,91.0668384752,alcoholic_drinks 
78,201550,90.1284042639,alcoholic_drinks 
79,201551,89.6782737202,alcoholic_drinks 
80,201552,89.7301993245,alcoholic_drinks 
81,201601,90.5462165108,alcoholic_drinks 
82,201602,92.7475592126,alcoholic_drinks 
83,201603,93.3829894603,alcoholic_drinks 
84,201604,93.3664011736,alcoholic_drinks 
85,201605,93.2853111544,alcoholic_drinks 
86,201606,93.2321563989,alcoholic_drinks 
87,201607,92.6271888595,alcoholic_drinks 
88,201608,92.5740350184,alcoholic_drinks 
89,201609,92.1694280086,alcoholic_drinks 
90,201610,91.4914121598,alcoholic_drinks 
91,201611,91.5732981373,alcoholic_drinks 
92,201612,91.4600206769,alcoholic_drinks 
93,201613,91.4672488671,alcoholic_drinks 
94,201614,91.4482681634,alcoholic_drinks 
95,201615,91.3635526478,alcoholic_drinks 
96,201616,91.3935132525,alcoholic_drinks 
97,201617,91.5513348907,alcoholic_drinks 
98,201618,91.9327634053,alcoholic_drinks 
99,201619,91.942246123,alcoholic_drinks 
100,201620,91.9028740439,alcoholic_drinks 
101,201621,89.9338877068,alcoholic_drinks 
102,201622,89.9027611272,alcoholic_drinks 
103,201623,89.819812344,alcoholic_drinks 
104,201624,89.5786637701,alcoholic_drinks 
105,201625,90.3796954397,alcoholic_drinks 
106,201626,90.858879527,alcoholic_drinks 
107,201627,91.0563444046,alcoholic_drinks 
108,201628,91.2552028005,alcoholic_drinks 
109,201629,91.1970642704,alcoholic_drinks 
110,201630,90.7012692864,alcoholic_drinks 
111,201631,90.4249937888,alcoholic_drinks 
112,201632,90.306766637,alcoholic_drinks 
113,201644,89.8394851678,alcoholic_drinks 
114,201423,100.0,food_and_non_alcoholic_beverages
115,201424,102.365738425,food_and_non_alcoholic_beverages
116,201425,101.605543939,food_and_non_alcoholic_beverages
117,201426,101.293859165,food_and_non_alcoholic_beverages
118,201427,101.961780649,food_and_non_alcoholic_beverages
119,201428,101.678997897,food_and_non_alcoholic_beverages
120,201429,101.76276304,food_and_non_alcoholic_beverages
121,201430,101.385817591,food_and_non_alcoholic_beverages
122,201431,101.422550435,food_and_non_alcoholic_beverages
123,201432,101.274250643,food_and_non_alcoholic_beverages
124,201433,101.168279797,food_and_non_alcoholic_beverages
125,201434,101.36541141,food_and_non_alcoholic_beverages
126,201435,100.82792489,food_and_non_alcoholic_beverages
127,201436,100.706638831,food_and_non_alcoholic_beverages
128,201437,100.629155887,food_and_non_alcoholic_beverages
129,201438,101.0344822,food_and_non_alcoholic_beverages
130,201439,101.35343995,food_and_non_alcoholic_beverages
131,201440,101.311096908,food_and_non_alcoholic_beverages
132,201441,100.867211108,food_and_non_alcoholic_beverages
133,201442,100.662196712,food_and_non_alcoholic_beverages
134,201443,100.66982029,food_and_non_alcoholic_beverages
135,201444,100.719863284,food_and_non_alcoholic_beverages
136,201445,100.821176695,food_and_non_alcoholic_beverages
137,201446,101.079093565,food_and_non_alcoholic_beverages
138,201447,101.567382987,food_and_non_alcoholic_beverages
139,201448,101.783841719,food_and_non_alcoholic_beverages
140,201449,101.570160574,food_and_non_alcoholic_beverages
141,201450,101.226879716,food_and_non_alcoholic_beverages
142,201451,101.81469266,food_and_non_alcoholic_beverages
143,201452,102.110776557,food_and_non_alcoholic_beverages
144,201501,101.672798021,food_and_non_alcoholic_beverages
145,201502,100.75245888,food_and_non_alcoholic_beverages
146,201503,99.8412612445,food_and_non_alcoholic_beverages
147,201504,99.2750195776,food_and_non_alcoholic_beverages
148,201505,100.05076538,food_and_non_alcoholic_beverages
149,201506,100.073079563,food_and_non_alcoholic_beverages
150,201507,99.5359350891,food_and_non_alcoholic_beverages
151,201508,99.524853223,food_and_non_alcoholic_beverages
152,201509,99.429745286,food_and_non_alcoholic_beverages
153,201510,98.6655621276,food_and_non_alcoholic_beverages
154,201511,98.9109009746,food_and_non_alcoholic_beverages
155,201512,99.1414039058,food_and_non_alcoholic_beverages
156,201513,99.2746767043,food_and_non_alcoholic_beverages
