,Top,period,weighted_index
0,Alcoholic Drinks,201406.0,100.0
1,Alcoholic Drinks,201407.0,100.526481715
2,Alcoholic Drinks,201408.0,100.458751653
3,Alcoholic Drinks,201409.0,99.495663592
4,Alcoholic Drinks,201410.0,99.7563865887
5,Alcoholic Drinks,201411.0,98.2635384791
6,Alcoholic Drinks,201412.0,96.7557520675
7,Alcoholic Drinks,201501.0,98.3730316569
8,Alcoholic Drinks,201502.0,98.6746735703
9,Alcoholic Drinks,201503.0,98.017051293
10,Alcoholic Drinks,201504.0,96.6454658228
11,Alcoholic Drinks,201505.0,97.7767574981
12,Alcoholic Drinks,201506.0,97.2426447562
13,Alcoholic Drinks,201507.0,97.2083719475
14,Alcoholic Drinks,201508.0,96.6944843485
15,Alcoholic Drinks,201509.0,95.2947187308
16,Alcoholic Drinks,201510.0,94.9256276636
17,Alcoholic Drinks,201511.0,93.5039161668
18,Alcoholic Drinks,201512.0,90.4103103723
19,Alcoholic Drinks,201601.0,93.8290979891
20,Alcoholic Drinks,201602.0,93.2434807574
21,Alcoholic Drinks,201603.0,92.3912045172
22,Alcoholic Drinks,201604.0,92.3202396378
23,Alcoholic Drinks,201605.0,92.3384363107
24,Alcoholic Drinks,201606.0,90.9254257371
25,Alcoholic Drinks,201607.0,91.6829667138
26,Alcoholic Drinks,201608.0,91.511082685
27,Alcoholic Drinks,201610.0,92.6499845729
28,Alcoholic Drinks,201611.0,92.5524208062
29,Food and Non-Alcoholic Beverages,201406.0,98.0761971831
30,Food and Non-Alcoholic Beverages,201407.0,98.0640592205
31,Food and Non-Alcoholic Beverages,201408.0,97.6697825088
32,Food and Non-Alcoholic Beverages,201409.0,97.3371657477
33,Food and Non-Alcoholic Beverages,201410.0,97.4353177207
34,Food and Non-Alcoholic Beverages,201411.0,98.7564487528
35,Food and Non-Alcoholic Beverages,201412.0,98.9498505644
36,Food and Non-Alcoholic Beverages,201501.0,95.559027106
37,Food and Non-Alcoholic Beverages,201502.0,95.1116893328
38,Food and Non-Alcoholic Beverages,201503.0,95.0724256992
39,Food and Non-Alcoholic Beverages,201504.0,95.1449837469
40,Food and Non-Alcoholic Beverages,201505.0,94.8606112608
41,Food and Non-Alcoholic Beverages,201506.0,94.7470655683
42,Food and Non-Alcoholic Beverages,201507.0,93.9302751271
43,Food and Non-Alcoholic Beverages,201508.0,93.4213487049
44,Food and Non-Alcoholic Beverages,201509.0,92.2727347655
45,Food and Non-Alcoholic Beverages,201510.0,93.0299572042
46,Food and Non-Alcoholic Beverages,201511.0,94.2117028073
47,Food and Non-Alcoholic Beverages,201512.0,93.8911096833
48,Food and Non-Alcoholic Beverages,201601.0,93.0090161676
49,Food and Non-Alcoholic Beverages,201602.0,92.9936555121
50,Food and Non-Alcoholic Beverages,201603.0,92.3638413144
51,Food and Non-Alcoholic Beverages,201604.0,91.4529496247
52,Food and Non-Alcoholic Beverages,201605.0,91.2783297906
53,Food and Non-Alcoholic Beverages,201606.0,90.0184942653
54,Food and Non-Alcoholic Beverages,201607.0,89.6889106561
55,Food and Non-Alcoholic Beverages,201608.0,89.4381365708
56,Food and Non-Alcoholic Beverages,201610.0,90.2767396696
57,Food and Non-Alcoholic Beverages,201611.0,90.2632560863
