,GEKS,ons_item_no,i,period
0,100.0,210111.0,0.0,201406.0
1,99.8489167544,210111.0,1.0,201407.0
2,98.8645190139,210111.0,2.0,201408.0
3,97.5171061083,210111.0,3.0,201409.0
4,97.9404704909,210111.0,4.0,201410.0
5,97.1427845749,210111.0,5.0,201411.0
6,97.2691632372,210111.0,6.0,201412.0
7,89.2987336478,210111.0,7.0,201501.0
8,87.2911037052,210111.0,8.0,201502.0
9,91.3819834879,210111.0,9.0,201503.0
10,91.0305539042,210111.0,10.0,201504.0
11,90.6548635108,210111.0,11.0,201505.0
12,90.5923724642,210111.0,12.0,201506.0
13,87.8014205724,210111.0,13.0,201507.0
14,87.2338486752,210111.0,14.0,201508.0
15,87.173193309,210111.0,15.0,201509.0
16,86.5696103698,210111.0,16.0,201510.0
17,84.4111540292,210111.0,17.0,201511.0
18,84.1233581533,210111.0,18.0,201512.0
19,83.7573859201,210111.0,19.0,201601.0
20,83.1825791975,210111.0,20.0,201602.0
21,83.2146380877,210111.0,21.0,201603.0
22,83.4303372739,210111.0,22.0,201604.0
23,83.0260515027,210111.0,23.0,201605.0
24,76.9935024222,210111.0,24.0,201606.0
25,77.4317359284,210111.0,25.0,201607.0
26,77.9804310113,210111.0,26.0,201608.0
27,81.5147746387,210111.0,27.0,201610.0
28,81.4891469069,210111.0,28.0,201611.0
29,100.0,210113.0,0.0,201406.0
30,99.5620535277,210113.0,1.0,201407.0
31,99.8900237551,210113.0,2.0,201408.0
32,98.6844565675,210113.0,3.0,201409.0
33,94.9209687207,210113.0,4.0,201410.0
34,96.8192790808,210113.0,5.0,201411.0
35,98.644791865,210113.0,6.0,201412.0
36,94.4756824075,210113.0,7.0,201501.0
37,93.8406733012,210113.0,8.0,201502.0
38,93.4199752661,210113.0,9.0,201503.0
39,91.5112852717,210113.0,10.0,201504.0
40,90.8587759527,210113.0,11.0,201505.0
41,90.8006740216,210113.0,12.0,201506.0
42,89.1092386546,210113.0,13.0,201507.0
43,87.9911533746,210113.0,14.0,201508.0
44,86.6356386821,210113.0,15.0,201509.0
45,86.5961538888,210113.0,16.0,201510.0
46,84.9500618407,210113.0,17.0,201511.0
47,84.9135834834,210113.0,18.0,201512.0
48,84.5733935461,210113.0,19.0,201601.0
49,84.0338902575,210113.0,20.0,201602.0
50,81.0548727965,210113.0,21.0,201603.0
51,81.9789577658,210113.0,22.0,201604.0
52,80.952689607,210113.0,23.0,201605.0
53,78.2425406708,210113.0,24.0,201606.0
54,78.6168923753,210113.0,25.0,201607.0
55,78.4850384921,210113.0,26.0,201608.0
56,84.5506680487,210113.0,27.0,201610.0
57,84.3057743135,210113.0,28.0,201611.0
58,100.0,210204.0,0.0,201406.0
59,100.099098898,210204.0,1.0,201407.0
60,104.697306366,210204.0,2.0,201408.0
61,104.576777979,210204.0,3.0,201409.0
62,102.229502774,210204.0,4.0,201410.0
63,99.6418619349,210204.0,5.0,201411.0
64,94.6068873262,210204.0,6.0,201412.0
65,92.0912138811,210204.0,7.0,201501.0
66,94.5098194594,210204.0,8.0,201502.0
67,95.4749244037,210204.0,9.0,201503.0
68,95.134720312,210204.0,10.0,201504.0
