,i,ons_item_number,period,unit
0,0,210111.0,201406.0,100.0
1,1,210111.0,201407.0,99.84891675437075
2,2,210111.0,201408.0,98.80708098479882
3,3,210111.0,201409.0,97.7173193717364
4,4,210111.0,201410.0,98.03221949361895
5,5,210111.0,201411.0,96.7843016581291
6,6,210111.0,201412.0,95.71066369562476
7,7,210111.0,201501.0,87.52378843668367
8,0,210113.0,201406.0,100.0
9,1,210113.0,201407.0,99.56205352766307
10,2,210113.0,201408.0,99.84807314677589
11,3,210113.0,201409.0,98.5087161209495
12,4,210113.0,201410.0,92.93764693276789
13,5,210113.0,201411.0,96.95931706277777
14,6,210113.0,201412.0,98.45571745064757
15,7,210113.0,201501.0,94.07194678315034
16,6,210204.0,201406.0,100.0
17,2,210204.0,201407.0,100.09909889827284
18,0,210204.0,201408.0,105.17263759996627
19,1,210204.0,201409.0,104.75665307165549
20,5,210204.0,201410.0,98.37317688861788
21,3,210204.0,201411.0,100.80627032708432
22,4,210204.0,201412.0,95.69204698792232
23,7,210204.0,201501.0,92.06267645460983
24,0,210213.0,201406.0,100.0
25,1,210213.0,201407.0,100.01751549124873
26,2,210213.0,201408.0,99.77572597480209
27,3,210213.0,201409.0,101.79097813322238
28,4,210213.0,201410.0,102.176119707678
29,5,210213.0,201411.0,105.00262256806596
30,6,210213.0,201412.0,103.54107185156181
31,7,210213.0,201501.0,103.05273372656036
32,0,210214.0,201406.0,100.0
33,1,210214.0,201407.0,99.35139986855278
34,5,210214.0,201408.0,98.43854117497635
35,6,210214.0,201409.0,98.05819434569223
36,2,210214.0,201410.0,99.05338126878934
37,3,210214.0,201411.0,101.24299609138694
38,4,210214.0,201412.0,99.67026874038145
39,7,210214.0,201501.0,98.60018247211083
40,0,210302.0,201406.0,100.0
41,1,210302.0,201407.0,100.96053424383327
42,2,210302.0,201408.0,100.84258007558743
43,3,210302.0,201409.0,101.23557254323761
44,4,210302.0,201410.0,101.12465588454731
45,5,210302.0,201411.0,101.33051060138445
46,6,210302.0,201412.0,101.3786712722969
47,7,210302.0,201501.0,102.38576869180602
48,0,211305.0,201406.0,100.0
49,1,211305.0,201407.0,98.39648892050236
50,2,211305.0,201408.0,99.07805039039033
51,3,211305.0,201409.0,99.41893038964027
52,4,211305.0,201410.0,98.70879595198222
53,5,211305.0,201411.0,97.93926766700461
54,6,211305.0,201412.0,97.65034237229247
55,7,211305.0,201501.0,97.23609110962029
56,0,211501.0,201406.0,100.0
57,1,211501.0,201407.0,99.39391272377354
58,2,211501.0,201408.0,99.08567579176498
59,3,211501.0,201409.0,98.67263576197116
60,4,211501.0,201410.0,95.1572168339378
61,5,211501.0,201411.0,95.57197056696627
62,6,211501.0,201412.0,95.19136524621578
63,7,211501.0,201501.0,95.9450546439997
64,0,211709.0,201406.0,100.0
65,1,211709.0,201407.0,99.49568350028163
66,2,211709.0,201408.0,99.317125933986
67,6,211709.0,201409.0,97.67895890629784
68,3,211709.0,201410.0,97.84159666604211
69,4,211709.0,201411.0,97.9599312253034
70,5,211709.0,201412.0,97.74449897437175
71,7,211709.0,201501.0,97.69948293354088
72,2,211710.0,201406.0,100.0
73,3,211710.0,201407.0,99.44857721184653
74,4,211710.0,201408.0,99.14375198355275
75,5,211710.0,201409.0,97.63626947079405
76,6,211710.0,201410.0,97.98087918942177
77,0,211710.0,201411.0,98.16259618992365
78,1,211710.0,201412.0,96.97851886680738
79,7,211710.0,201501.0,94.63549028530865
80,4,211807.0,201406.0,100.0
81,5,211807.0,201407.0,101.94889645814698
82,6,211807.0,201408.0,98.27667011600468
83,0,211807.0,201409.0,91.04847559872238
84,1,211807.0,201410.0,94.16558444009773
85,2,211807.0,201411.0,100.69108448326051
86,3,211807.0,201412.0,100.63893236107143
87,7,211807.0,201501.0,91.29104845082865
88,0,211814.0,201406.0,100.0
89,1,211814.0,201407.0,100.17425821416622
90,2,211814.0,201408.0,102.39318759315267
91,3,211814.0,201409.0,100.95232704942663
92,4,211814.0,201410.0,100.6752331799316
93,5,211814.0,201411.0,100.42400610476705
94,6,211814.0,201412.0,100.79190189308022
95,7,211814.0,201501.0,101.44305445675576
96,1,211901.0,201406.0,100.0
97,2,211901.0,201407.0,101.52333433679743
98,3,211901.0,201408.0,99.96099789292404
99,4,211901.0,201409.0,99.26998523227162
100,5,211901.0,201410.0,101.06690750735467
101,6,211901.0,201411.0,100.23371124312013
102,0,211901.0,201412.0,95.26468931384275
103,7,211901.0,201501.0,100.2155315673918
104,0,212006.0,201406.0,100.0
105,1,212006.0,201407.0,99.49259557631598
106,2,212006.0,201408.0,99.93826198597792
107,3,212006.0,201409.0,97.3671622743997
108,4,212006.0,201410.0,95.34909703276536
109,5,212006.0,201411.0,98.10636864307963
110,6,212006.0,201412.0,99.32439624939809
111,7,212006.0,201501.0,97.58741094751869
112,0,212011.0,201406.0,100.0
113,1,212011.0,201407.0,100.95887992761348
114,2,212011.0,201408.0,98.82706002829283
115,3,212011.0,201409.0,98.54627990361907
116,4,212011.0,201410.0,97.02420234691395
117,5,212011.0,201411.0,95.75991492235106
118,6,212011.0,201412.0,94.51579072017365
119,7,212011.0,201501.0,93.41306220930113
120,1,212016.0,201406.0,100.0
121,2,212016.0,201407.0,98.63675559780253
122,3,212016.0,201408.0,98.54612699738139
123,4,212016.0,201409.0,97.7750065184096
124,5,212016.0,201410.0,96.06251716870841
125,6,212016.0,201411.0,96.2510880227677
126,0,212016.0,201412.0,96.73622152226996
127,7,212016.0,201501.0,96.40143073995316
128,0,212017.0,201406.0,100.0
129,1,212017.0,201407.0,98.89478550695014
130,2,212017.0,201408.0,95.03835733247523
131,3,212017.0,201409.0,97.3048258266673
132,4,212017.0,201410.0,92.6548339512314
133,5,212017.0,201411.0,93.58467490626575
134,6,212017.0,201412.0,94.59271265944284
135,7,212017.0,201501.0,95.50062534634489
136,0,212319.0,201406.0,100.0
137,1,212319.0,201407.0,100.0
138,2,212319.0,201408.0,100.0
139,3,212319.0,201409.0,100.0
140,4,212319.0,201410.0,100.0
141,5,212319.0,201411.0,95.73205668691254
142,6,212319.0,201412.0,68.80733944954127
143,7,212319.0,201501.0,68.80733944954127
144,0,212360.0,201406.0,100.0
145,1,212360.0,201407.0,97.428288018884
146,2,212360.0,201408.0,98.77812893551268
147,3,212360.0,201409.0,98.15031278829933
148,4,212360.0,201410.0,97.43502986441376
149,5,212360.0,201411.0,93.7118547792285
150,6,212360.0,201412.0,92.54593885424953
151,7,212360.0,201501.0,92.08670629982763
152,0,212515.0,201406.0,100.0
153,1,212515.0,201407.0,100.34253724593334
154,2,212515.0,201408.0,101.21927210692209
155,3,212515.0,201409.0,101.07666785417817
156,4,212515.0,201410.0,100.22687079672676
157,5,212515.0,201411.0,97.84271418602901
158,6,212515.0,201412.0,95.93396341217195
159,7,212515.0,201501.0,97.33147992455886
160,0,212519.0,201406.0,100.0
161,1,212519.0,201407.0,100.80428800680876
162,2,212519.0,201408.0,99.72198595964996
163,3,212519.0,201409.0,98.40403361702538
164,4,212519.0,201410.0,98.76865510083273
165,5,212519.0,201411.0,100.54963639083489
166,6,212519.0,201412.0,101.02020294510983
167,7,212519.0,201501.0,101.37920374819717
168,0,212717.0,201406.0,100.0
169,1,212717.0,201407.0,101.27734176278108
170,2,212717.0,201408.0,100.75837947079256
171,4,212717.0,201409.0,98.49469957420422
172,3,212717.0,201410.0,98.89797422391447
173,5,212717.0,201411.0,100.13969711402268
174,6,212717.0,201412.0,100.13969711402268
175,7,212717.0,201501.0,100.1490171907114
176,0,212719.0,201406.0,100.0
177,1,212719.0,201407.0,108.86801418139251
178,2,212719.0,201408.0,108.86801418139251
179,3,212719.0,201409.0,108.86801418139251
180,4,212719.0,201410.0,98.98941747250434
181,5,212719.0,201411.0,98.51178357825415
182,6,212719.0,201412.0,98.51178357825417
183,7,212719.0,201501.0,98.51178357825415
184,0,212720.0,201406.0,100.0
185,1,212720.0,201407.0,96.72299910318485
186,2,212720.0,201408.0,94.66520072570853
187,6,212720.0,201409.0,105.54423887022195
188,3,212720.0,201410.0,124.83536677595599
189,4,212720.0,201411.0,165.09321750434145
190,5,212720.0,201412.0,163.82489226027144
191,7,212720.0,201501.0,140.44945720819283
192,0,212722.0,201406.0,100.0
193,1,212722.0,201407.0,97.38298326868525
194,2,212722.0,201408.0,95.10838864966344
195,3,212722.0,201409.0,92.93943880136412
196,4,212722.0,201410.0,96.47128854887555
197,5,212722.0,201411.0,101.25204490682779
198,6,212722.0,201412.0,107.0642336371548
199,7,212722.0,201501.0,99.97010038716905
200,0,310207.0,201406.0,100.0
201,1,310207.0,201407.0,100.23606436752803
202,2,310207.0,201408.0,99.9244366045781
203,3,310207.0,201409.0,100.19348672098272
204,4,310207.0,201410.0,99.63448498261394
205,5,310207.0,201411.0,97.77641060581723
206,6,310207.0,201412.0,97.62582907735839
207,7,310207.0,201501.0,96.9445790979577
208,0,310215.0,201406.0,100.0
209,1,310215.0,201407.0,99.64684295475386
210,2,310215.0,201408.0,100.15249682527947
211,3,310215.0,201409.0,100.45576058580379
212,4,310215.0,201410.0,98.96932980757994
213,5,310215.0,201411.0,97.47546780077374
214,6,310215.0,201412.0,96.46233023331621
215,7,310215.0,201501.0,95.32661390656584
216,0,310218.0,201406.0,100.0
217,1,310218.0,201407.0,100.74023255445353
218,2,310218.0,201408.0,100.24275528019959
219,3,310218.0,201409.0,100.14471912429626
220,4,310218.0,201410.0,99.31721012543831
221,5,310218.0,201411.0,98.7974937764891
222,6,310218.0,201412.0,98.01271412825457
223,7,310218.0,201501.0,97.5343704720374
224,0,310401.0,201406.0,100.0
225,1,310401.0,201407.0,103.38038178819443
226,2,310401.0,201408.0,103.35250786912582
227,3,310401.0,201409.0,100.7724658381231
228,4,310401.0,201410.0,101.28270481980162
229,5,310401.0,201411.0,99.6461319177196
230,6,310401.0,201412.0,96.43376420616121
231,7,310401.0,201501.0,102.60881366563778
232,0,310403.0,201406.0,100.0
233,1,310403.0,201407.0,99.7268654737235
234,2,310403.0,201408.0,99.01478933547082
235,3,310403.0,201409.0,98.27449215977295
236,4,310403.0,201410.0,99.88477783128616
237,5,310403.0,201411.0,95.84369447873111
238,6,310403.0,201412.0,94.71694051935762
239,7,310403.0,201501.0,99.97281913615278
240,0,310405.0,201406.0,100.0
241,1,310405.0,201407.0,101.59892613634682
242,2,310405.0,201408.0,101.59199987074989
243,3,310405.0,201409.0,100.898554956216
244,4,310405.0,201410.0,101.61450013597523
245,5,310405.0,201411.0,100.12909836711441
246,6,310405.0,201412.0,97.78020744500792
247,7,310405.0,201501.0,101.44004481510737
248,1,310419.0,201406.0,100.0
249,2,310419.0,201407.0,100.14508320995685
250,3,310419.0,201408.0,100.62410329334499
251,4,310419.0,201409.0,99.08782318370378
252,0,310419.0,201410.0,99.7284004342831
253,5,310419.0,201411.0,99.20432709275012
254,6,310419.0,201412.0,98.23556891640528
255,7,310419.0,201501.0,99.24376591784822
256,0,310421.0,201406.0,100.0
257,1,310421.0,201407.0,100.03918219762211
258,2,310421.0,201408.0,100.12967808269993
259,3,310421.0,201409.0,98.53756765512021
260,4,310421.0,201410.0,99.6974845842748
261,5,310421.0,201411.0,99.19724611367016
262,6,310421.0,201412.0,97.11881237273904
263,7,310421.0,201501.0,98.62995962042409
264,0,310427.0,201406.0,100.0
265,1,310427.0,201407.0,99.97198996504606
266,2,310427.0,201408.0,100.85877854605776
267,3,310427.0,201409.0,100.89197553098647
268,4,310427.0,201410.0,101.10589037379998
269,5,310427.0,201411.0,97.77785438776995
270,6,310427.0,201412.0,96.73796708225233
271,7,310427.0,201501.0,101.43558637301714
