,ons_item_number,period,unit
0,210111.0,201406.0,100.0
1,210111.0,201407.0,99.8489167544
2,210111.0,201408.0,98.8070809848
3,210111.0,201409.0,97.7173193717
4,210111.0,201410.0,98.0322194936
5,210111.0,201411.0,96.7843016581
6,210111.0,201412.0,95.7106636956
7,210111.0,201501.0,87.5237884367
8,210111.0,201502.0,84.4140125028
9,210111.0,201503.0,88.219551616
10,210111.0,201504.0,90.7086609065
11,210111.0,201505.0,90.6890103676
12,210111.0,201506.0,88.0304853628
13,210111.0,201507.0,87.8986136708
14,210111.0,201508.0,87.2464507141
15,210111.0,201509.0,87.7268759078
16,210111.0,201510.0,87.2910740738
17,210111.0,201511.0,85.3191117202
18,210111.0,201512.0,85.2165596441
19,210111.0,201601.0,85.6200018998
20,210111.0,201602.0,84.972720053
21,210111.0,201603.0,83.8434726897
22,210111.0,201604.0,83.616576854
23,210111.0,201605.0,83.1393708858
24,210111.0,201606.0,82.9076650532
25,210111.0,201607.0,82.8118214506
26,210111.0,201608.0,82.8118214506
27,210111.0,201610.0,83.9783669353
28,210111.0,201611.0,84.2854496261
29,210113.0,201406.0,100.0
30,210113.0,201407.0,99.5620535277
31,210113.0,201408.0,99.8480731468
32,210113.0,201409.0,98.5087161209
33,210113.0,201410.0,92.9376469328
34,210113.0,201411.0,96.9593170628
35,210113.0,201412.0,98.4557174506
36,210113.0,201501.0,94.0719467832
37,210113.0,201502.0,93.3355453194
38,210113.0,201503.0,93.131493968
39,210113.0,201504.0,89.7106489106
40,210113.0,201505.0,88.9104639139
41,210113.0,201506.0,88.5516834508
42,210113.0,201507.0,86.8650853806
43,210113.0,201508.0,85.9204957032
44,210113.0,201509.0,84.7599448007
45,210113.0,201510.0,84.2723208732
46,210113.0,201511.0,82.8320773719
47,210113.0,201512.0,82.7336065472
48,210113.0,201601.0,82.3104110348
49,210113.0,201602.0,81.4914399008
50,210113.0,201603.0,79.713214695
51,210113.0,201604.0,79.7904185158
52,210113.0,201605.0,78.5331589663
53,210113.0,201606.0,79.9266827527
54,210113.0,201607.0,80.6612672898
55,210113.0,201608.0,80.6612672898
56,210113.0,201610.0,83.0037362384
57,210113.0,201611.0,83.1297967678
58,210204.0,201406.0,100.0
59,210204.0,201407.0,100.099098898
60,210204.0,201408.0,105.1726376
61,210204.0,201409.0,104.756653072
62,210204.0,201410.0,98.3731768886
63,210204.0,201411.0,100.806270327
64,210204.0,201412.0,95.6920469879
65,210204.0,201501.0,92.0626764546
66,210204.0,201502.0,93.7602780529
67,210204.0,201503.0,94.3939728018
68,210204.0,201504.0,94.474919038
69,210204.0,201505.0,94.6962870591
70,210204.0,201506.0,93.8231532926
71,210204.0,201507.0,92.5248417322
