,ons_item_number,period,unit
0,210111.0,201423.0,100.0
1,210111.0,201424.0,100.073806458
2,210111.0,201425.0,99.701777555
3,210111.0,201426.0,99.7935436437
4,210111.0,201427.0,99.9819674773
5,210111.0,201428.0,99.4832294763
6,210111.0,201429.0,99.2773768105
7,210111.0,201430.0,99.7013641471
8,210111.0,201431.0,99.6099990019
9,210111.0,201432.0,99.4542365561
10,210111.0,201433.0,98.6922769509
11,210111.0,201434.0,98.5578021442
12,210111.0,201435.0,99.2223448519
13,210111.0,201436.0,98.3135188429
14,210111.0,201437.0,97.2456076702
15,210111.0,201438.0,97.5588025306
16,210111.0,201439.0,98.4074149147
17,210111.0,201440.0,99.0239550771
18,210111.0,201441.0,99.2058351762
19,210111.0,201442.0,98.2586739705
20,210111.0,201443.0,97.6296312007
21,210111.0,201444.0,97.4817873269
22,210111.0,201445.0,97.2486971753
23,210111.0,201446.0,97.1088000362
24,210111.0,201447.0,97.5217569279
25,210111.0,201448.0,97.0694813077
26,210111.0,201449.0,96.9478664757
27,210111.0,201450.0,96.6573516963
28,210111.0,201451.0,97.2296458539
29,210111.0,201452.0,97.6894271309
30,210111.0,201501.0,97.4387656179
31,210111.0,201502.0,96.2261847269
32,210111.0,201503.0,89.380398804
33,210111.0,201504.0,81.4557555614
34,210111.0,201505.0,81.6514853299
35,210111.0,201506.0,88.5175643541
36,210111.0,201507.0,93.2676828399
37,210111.0,201508.0,93.4200821321
38,210111.0,201509.0,93.4200821321
39,210111.0,201510.0,93.2007251229
40,210111.0,201511.0,93.16421573
41,210111.0,201512.0,93.368114907
42,210111.0,201513.0,93.4029844051
43,210111.0,201514.0,92.6420176489
44,210111.0,201515.0,91.259851844
45,210111.0,201516.0,90.9183210615
46,210111.0,201517.0,90.62105865
47,210111.0,201518.0,91.879883145
48,210111.0,201519.0,92.0422304658
49,210111.0,201520.0,91.521325013
50,210111.0,201521.0,91.2313348056
51,210111.0,201522.0,91.1756508164
52,210111.0,201523.0,91.1756508164
53,210111.0,201524.0,91.2549683645
54,210111.0,201525.0,91.1635016532
55,210111.0,201526.0,92.7586446589
56,210111.0,201527.0,86.2589288252
57,210111.0,201528.0,87.3496811539
58,210111.0,201529.0,87.2118230023
59,210111.0,201530.0,87.098429372
60,210111.0,201531.0,87.3192487259
61,210111.0,201532.0,87.2423585965
62,210111.0,201533.0,86.9077491395
63,210111.0,201534.0,86.9216379667
64,210111.0,201535.0,87.0483697612
65,210111.0,201536.0,87.2632809599
66,210111.0,201537.0,87.0147056766
67,210111.0,201538.0,87.2851400673
68,210111.0,201539.0,86.3778855175
69,210111.0,201540.0,86.2628768135
70,210111.0,201541.0,86.6379553734
71,210111.0,201542.0,85.9909361118
72,210111.0,201543.0,85.4768352118
73,210111.0,201545.0,84.6607666809
74,210111.0,201546.0,84.4168903254
75,210111.0,201547.0,83.786545487
76,210111.0,201548.0,81.7794389289
77,210111.0,201549.0,81.7794389289
78,210111.0,201550.0,82.9340151339
79,210111.0,201551.0,82.9453580321
80,210111.0,201552.0,84.3813261122
81,210111.0,201601.0,84.6646641058
82,210111.0,201602.0,84.4322569616
