,i,ons_item_number,period,unit
0,6,210111.0,201601,100.0
1,7,210111.0,201602,99.72549688044207
2,8,210111.0,201603,98.51885948666869
3,9,210111.0,201604,99.54634823974534
4,0,210111.0,201605,99.45521069775211
5,1,210111.0,201606,99.38071480436943
6,2,210111.0,201607,99.28345869803145
7,3,210111.0,201608,98.12783584764726
8,4,210111.0,201609,97.61174351957531
9,5,210111.0,201610,96.93085144008799
10,10,210111.0,201611,96.74933825832662
11,11,210111.0,201612,97.18081229158796
12,12,210111.0,201613,97.18081229158796
13,13,210111.0,201614,96.52193352021625
14,14,210111.0,201615,96.53197895177786
15,15,210111.0,201616,96.53197895177786
16,16,210111.0,201617,96.19551504828532
17,17,210111.0,201618,95.72424831305072
18,18,210111.0,201619,94.68273206532113
19,19,210111.0,201620,94.55441484616821
20,20,210111.0,201621,94.44078389462355
21,21,210111.0,201622,94.44078389462355
22,22,210111.0,201623,94.44078389462355
23,23,210111.0,201624,95.39161491226339
24,24,210111.0,201625,95.7746223776835
25,25,210111.0,201626,95.77462237768349
26,26,210111.0,201627,95.7746223776835
27,29,210111.0,201628,100
28,30,210111.0,201629,100
29,31,210111.0,201630,100
30,27,210111.0,201631,95.7746223776835
31,28,210111.0,201632,95.77462237768349
32,32,210111.0,201644,97.86413528436739
33,0,210113.0,201601,100.0
34,1,210113.0,201602,99.29956492729059
35,2,210113.0,201603,98.3235295112063
36,3,210113.0,201604,100.36378030843771
37,4,210113.0,201605,100.34141671306855
38,5,210113.0,201606,99.99931048035032
39,6,210113.0,201607,99.23376085567092
40,7,210113.0,201608,98.0090755999264
41,8,210113.0,201609,97.22568977191806
42,9,210113.0,201610,96.98425840937605
43,10,210113.0,201611,95.70279129847522
44,11,210113.0,201612,96.29603667921181
45,12,210113.0,201613,96.29603667921181
46,13,210113.0,201614,96.13988041868885
47,14,210113.0,201615,96.30354722516863
48,15,210113.0,201616,96.35576422157973
49,16,210113.0,201617,95.19624572761151
50,17,210113.0,201618,94.4206594822099
51,18,210113.0,201619,93.03869630608435
52,19,210113.0,201620,92.44345110129233
53,20,210113.0,201621,96.07723589027314
54,21,210113.0,201622,96.07723589027314
55,22,210113.0,201623,96.07723589027314
56,23,210113.0,201624,97.47757712476202
57,24,210113.0,201625,98.0434119118826
58,25,210113.0,201626,98.0434119118826
59,26,210113.0,201627,98.0434119118826
60,29,210113.0,201628,100
61,30,210113.0,201629,100
62,31,210113.0,201630,100
63,27,210113.0,201631,98.0434119118826
64,28,210113.0,201632,98.0434119118826
65,32,210113.0,201644,101.14205821677488
66,0,210204.0,201601,100.0
67,1,210204.0,201602,99.83578738279468
68,2,210204.0,201603,97.79132276236246
69,3,210204.0,201604,97.66806163220387
70,4,210204.0,201605,100.41146043962277
71,5,210204.0,201606,106.65327887081044
72,6,210204.0,201607,106.67042693792521
73,7,210204.0,201608,106.13968355864903
74,8,210204.0,201609,106.50106636854808
75,9,210204.0,201610,104.87028090565407
76,10,210204.0,201611,101.9525960627193
77,11,210204.0,201612,103.78606657135407
78,12,210204.0,201613,103.87646077549597
79,13,210204.0,201614,105.54406354819254
80,14,210204.0,201615,105.96422708099864
81,15,210204.0,201616,99.35579624419334
82,16,210204.0,201617,98.83499915953044
83,17,210204.0,201618,101.82442333992509
84,18,210204.0,201619,104.49381863983062
85,19,210204.0,201620,104.63431392326699
86,20,210204.0,201621,104.39504953307886
87,21,210204.0,201622,104.4132658484624
88,22,210204.0,201623,100.3856184880366
89,23,210204.0,201624,100.25088109926608
90,24,210204.0,201625,100.25088109926608
91,25,210204.0,201626,105.2591167794463
92,26,210204.0,201627,106.80854261256036
93,27,210204.0,201628,105.49522001764784
94,28,210204.0,201629,101.06264686697332
95,29,210204.0,201630,100.21900378173734
96,30,210204.0,201631,100.52823965202462
97,31,210204.0,201632,100.52823965202462
98,32,210204.0,201644,102.65305897658139
99,0,210213.0,201601,100.0
100,1,210213.0,201602,97.73332186888608
101,2,210213.0,201603,96.92434151923574
102,3,210213.0,201604,95.96797363623202
103,4,210213.0,201605,98.53645146504132
104,5,210213.0,201606,102.32680777668372
105,8,210213.0,201607,102.6500542178647
106,9,210213.0,201608,100.43763274540464
107,6,210213.0,201609,102.29834353155478
108,7,210213.0,201610,101.57605673208907
109,14,210213.0,201611,99.3922368039159
110,15,210213.0,201612,100.22720483153442
111,16,210213.0,201613,97.89580844944919
112,17,210213.0,201614,97.67715790872921
113,18,210213.0,201615,97.62237930710252
114,19,210213.0,201616,95.19068849356506
115,22,210213.0,201617,97.86984749535253
116,23,210213.0,201618,98.62538332541612
117,20,210213.0,201619,99.46342374260115
118,21,210213.0,201620,99.50267334185129
119,24,210213.0,201621,99.41094394392687
120,25,210213.0,201622,99.39367139451991
121,26,210213.0,201623,97.48020957814852
122,27,210213.0,201624,97.14184487031062
123,28,210213.0,201625,97.45930649216305
124,29,210213.0,201626,100.31669298782695
125,30,210213.0,201627,100.63722114450502
126,31,210213.0,201628,97.88529104002708
127,10,210213.0,201629,97.78004713919447
128,11,210213.0,201630,98.35872568465473
129,12,210213.0,201631,101.24085634061879
130,13,210213.0,201632,101.35442210821557
131,32,210213.0,201644,100.46423978265626
132,0,210214.0,201601,100.0
133,1,210214.0,201602,95.31596740123874
134,2,210214.0,201603,93.78362851609103
135,3,210214.0,201604,96.05957844506725
136,4,210214.0,201605,98.77859835688328
137,5,210214.0,201606,101.91371549840416
138,8,210214.0,201607,102.25834341917992
139,9,210214.0,201608,100.95003061511048
140,6,210214.0,201609,104.99928936897011
141,7,210214.0,201610,105.24969133935296
142,12,210214.0,201611,104.22980043636396
143,13,210214.0,201612,103.56814348267898
144,14,210214.0,201613,101.51364277971035
145,15,210214.0,201614,97.95559360440168
146,16,210214.0,201615,96.98453369823245
147,17,210214.0,201616,97.12742514300872
148,18,210214.0,201617,101.6693777316548
149,19,210214.0,201618,102.5183838419308
150,10,210214.0,201619,101.13107558027244
151,11,210214.0,201620,100.41347923467454
152,20,210214.0,201621,98.35691775652707
153,21,210214.0,201622,98.35691775652707
154,22,210214.0,201623,98.94914555281962
155,23,210214.0,201624,98.99388952391797
156,24,210214.0,201625,99.42358312552058
157,25,210214.0,201626,98.31369436338504
158,26,210214.0,201627,97.76012322260306
159,27,210214.0,201628,95.75233403863109
160,28,210214.0,201629,94.1117773762969
161,29,210214.0,201630,95.16717090711366
162,30,210214.0,201631,95.73959333771388
163,31,210214.0,201632,95.73959333771388
164,32,210214.0,201644,95.7821139310896
165,0,210302.0,201601,100.0
166,1,210302.0,201602,103.35114540097518
167,2,210302.0,201603,103.46109672825648
168,3,210302.0,201604,102.23223270686913
169,4,210302.0,201605,102.2571141714254
170,5,210302.0,201606,101.32901228563173
171,6,210302.0,201607,101.19342883480928
172,7,210302.0,201608,101.18540333741318
173,8,210302.0,201609,102.04318283283456
174,9,210302.0,201610,102.1988469108297
175,24,210302.0,201611,98.51760403038386
176,25,210302.0,201612,97.980417088387
177,26,210302.0,201613,97.63988669377058
178,27,210302.0,201614,98.25471364968237
179,28,210302.0,201615,97.95453527511708
180,29,210302.0,201616,97.80067683515466
181,30,210302.0,201617,96.62417237340375
182,31,210302.0,201618,96.36465496216977
183,10,210302.0,201619,96.2887241010183
184,11,210302.0,201620,96.04334402277689
185,16,210302.0,201621,98.03092845078555
186,17,210302.0,201622,98.03092845078555
187,18,210302.0,201623,98.03092845078555
188,19,210302.0,201624,98.03092845078555
189,20,210302.0,201625,98.03092845078555
190,21,210302.0,201626,98.03092845078555
191,22,210302.0,201627,98.03092845078557
192,23,210302.0,201628,98.03092845078555
193,12,210302.0,201629,98.03092845078557
194,13,210302.0,201630,98.03092845078555
195,14,210302.0,201631,98.03092845078557
196,15,210302.0,201632,98.03092845078555
197,32,210302.0,201644,97.36267870065363
198,0,211305.0,201601,100.0
199,1,211305.0,201602,99.96565473609492
200,2,211305.0,201603,100.51349102822009
201,3,211305.0,201604,101.5191969031199
202,4,211305.0,201605,102.07092900566504
203,5,211305.0,201606,101.26122633213532
204,6,211305.0,201607,100.6979170277571
205,7,211305.0,201608,100.2184804063356
206,8,211305.0,201609,100.60443481777793
207,9,211305.0,201610,100.97742611914751
208,24,211305.0,201611,97.95893596308079
209,25,211305.0,201612,98.07176690985456
210,26,211305.0,201613,96.05885449829614
211,27,211305.0,201614,92.22677788521784
212,28,211305.0,201615,91.31378740101488
213,29,211305.0,201616,96.17054532221402
214,30,211305.0,201617,103.15030877234767
215,31,211305.0,201618,104.49350141359162
216,10,211305.0,201619,100.31891928210209
217,11,211305.0,201620,98.60800443692042
218,12,211305.0,201621,100.04286874456227
219,13,211305.0,201622,102.57565987216668
220,14,211305.0,201623,102.92265152920388
221,15,211305.0,201624,102.92265152920388
222,16,211305.0,201625,102.59102777810891
223,17,211305.0,201626,103.106167983974
224,18,211305.0,201627,103.29759085545753
225,19,211305.0,201628,99.83148496049512
226,20,211305.0,201629,98.73392928123447
227,21,211305.0,201630,98.77324167669829
228,22,211305.0,201631,102.71487461626634
229,23,211305.0,201632,102.8004028248849
230,32,211305.0,201644,100.65374582169808
231,0,211501.0,201601,100.0
232,1,211501.0,201602,99.85703839089417
233,2,211501.0,201603,99.99532944393647
234,3,211501.0,201604,99.54180748621819
235,4,211501.0,201605,100.28164113563192
236,5,211501.0,201606,101.89730452797978
237,6,211501.0,201607,102.50752840442661
238,7,211501.0,201608,101.72224833147199
239,8,211501.0,201609,99.6687533457545
240,9,211501.0,201610,99.65024908066994
241,24,211501.0,201611,103.14942762604724
242,25,211501.0,201612,104.64336787279593
243,26,211501.0,201613,100.38412138002066
244,27,211501.0,201614,101.31788513789155
245,28,211501.0,201615,101.46538927766508
246,29,211501.0,201616,103.28719160102713
247,30,211501.0,201617,103.6533131463657
248,31,211501.0,201618,103.27140548786772
249,10,211501.0,201619,100.6205783618575
250,11,211501.0,201620,100.32115682408119
251,12,211501.0,201621,100.33061821083938
252,13,211501.0,201622,95.87040054975125
253,14,211501.0,201623,95.36846438947137
254,15,211501.0,201624,94.69221725208247
255,16,211501.0,201625,96.6361719009795
256,17,211501.0,201626,99.15243984722315
257,18,211501.0,201627,99.15243984722314
258,19,211501.0,201628,99.08155144085644
259,20,211501.0,201629,98.89464830155038
260,21,211501.0,201630,98.89464830155038
261,22,211501.0,201631,98.46437452952343
262,23,211501.0,201632,98.44128540864426
263,32,211501.0,201644,96.26115080428931
264,0,211709.0,201601,100.0
265,1,211709.0,201602,98.39226933561297
266,2,211709.0,201603,98.00405963392946
267,3,211709.0,201604,99.86270837990538
268,4,211709.0,201605,100.31970771555065
269,5,211709.0,201606,98.81453819308685
270,6,211709.0,201607,98.81453819308685
271,7,211709.0,201608,99.21897053835072
272,8,211709.0,201609,99.14445601348731
273,9,211709.0,201610,98.63903083504883
274,24,211709.0,201611,97.39121461399876
275,25,211709.0,201612,97.64557764301927
276,26,211709.0,201613,96.86874845105015
277,27,211709.0,201614,101.33404667256399
278,28,211709.0,201615,100.94332395685777
279,29,211709.0,201616,98.86896575189459
280,30,211709.0,201617,96.2814943959985
281,31,211709.0,201618,95.85275165944866
282,10,211709.0,201619,96.06191272906217
283,11,211709.0,201620,97.11089572608353
284,12,211709.0,201621,97.11089572608353
285,13,211709.0,201622,95.05451737111503
286,14,211709.0,201623,95.04150368060861
287,15,211709.0,201624,95.04150368060861
288,16,211709.0,201625,96.5150854750467
289,17,211709.0,201626,97.11089572608353
290,18,211709.0,201627,97.11089572608353
291,19,211709.0,201628,99.35063740650553
292,20,211709.0,201629,100.0
293,21,211709.0,201630,100.0
294,22,211709.0,201631,97.85128644913692
295,23,211709.0,201632,97.49768330345807
296,32,211709.0,201644,98.65929020822922
297,0,211710.0,201601,100.0
298,1,211710.0,201602,100.0
299,2,211710.0,201603,100.0
300,3,211710.0,201604,100.0
301,4,211710.0,201605,100.0
302,5,211710.0,201606,100.0
303,6,211710.0,201607,100.0
304,7,211710.0,201608,100.0
305,8,211710.0,201609,100.0
306,9,211710.0,201610,100.0
307,24,211710.0,201611,100.0
308,25,211710.0,201612,100.0
309,27,211710.0,201613,100.0
310,28,211710.0,201614,100.0
311,29,211710.0,201615,100.0
312,30,211710.0,201616,100.0
313,31,211710.0,201617,100.0
314,26,211710.0,201618,100.0
315,10,211710.0,201619,100.0
316,11,211710.0,201620,100.0
317,12,211710.0,201621,100
318,13,211710.0,201622,100
319,14,211710.0,201623,100
320,15,211710.0,201624,100
321,16,211710.0,201625,100
322,17,211710.0,201626,100
323,18,211710.0,201627,100
324,19,211710.0,201628,100
325,20,211710.0,201629,100
326,21,211710.0,201630,100
327,22,211710.0,201631,100
328,23,211710.0,201632,100
329,32,211710.0,201644,100
330,0,211807.0,201601,100.0
331,1,211807.0,201602,96.4609582365016
332,2,211807.0,201603,95.09900770546572
333,3,211807.0,201604,93.9276630315951
334,4,211807.0,201605,94.22731697704229
335,5,211807.0,201606,95.14550137457168
336,6,211807.0,201607,95.22922869878222
337,7,211807.0,201608,95.42149795653518
338,8,211807.0,201609,94.09005327503071
339,9,211807.0,201610,94.85724772645263
340,10,211807.0,201611,96.15997440086687
341,11,211807.0,201612,96.11364884031607
342,12,211807.0,201613,92.53134094913642
343,13,211807.0,201614,92.56491255910363
344,14,211807.0,201615,92.44974124521057
345,15,211807.0,201616,98.42856840166873
346,16,211807.0,201617,96.57026469350906
347,17,211807.0,201618,96.13190596006716
348,20,211807.0,201619,93.96255237231321
349,18,211807.0,201620,89.1315630891534
350,19,211807.0,201621,90.1990338022996
351,21,211807.0,201622,91.8960413729645
352,22,211807.0,201623,93.04260772375834
353,23,211807.0,201624,92.79000603359975
354,24,211807.0,201625,91.83748060500342
355,25,211807.0,201626,91.23966724566222
356,26,211807.0,201627,91.23966724566222
357,27,211807.0,201628,97.94018556874468
358,28,211807.0,201629,99.94346835985128
359,29,211807.0,201630,99.94346835985128
360,30,211807.0,201631,102.11087832911888
361,31,211807.0,201632,102.44847263542727
362,32,211807.0,201644,96.06400663026372
363,3,211814.0,201601,100.0
364,4,211814.0,201602,98.42092512792078
365,5,211814.0,201603,97.76668412515335
366,6,211814.0,201604,97.92087955115997
367,7,211814.0,201605,99.68478791413244
368,8,211814.0,201606,100.00724161485408
369,9,211814.0,201607,100.00724161485408
370,0,211814.0,201608,100.41525012068763
371,1,211814.0,201609,100.29238979882378
372,2,211814.0,201610,100.25456973753128
373,29,211814.0,201611,98.23071475083428
374,30,211814.0,201612,97.21141512926657
375,31,211814.0,201613,96.29238296119196
376,12,211814.0,201614,96.08892168496358
377,13,211814.0,201615,95.99962310795513
378,14,211814.0,201616,94.53255036596862
379,15,211814.0,201617,94.85684995213182
380,16,211814.0,201618,94.94435596893375
381,10,211814.0,201619,90.86215028866278
382,11,211814.0,201620,87.63712892476234
383,17,211814.0,201621,86.82183997288391
384,18,211814.0,201622,92.3243011031396
385,19,211814.0,201623,93.39913220473917
386,20,211814.0,201624,93.65792977994765
387,21,211814.0,201625,90.51542482370417
388,22,211814.0,201626,89.33404315768195
389,23,211814.0,201627,89.13275491681107
390,24,211814.0,201628,91.11844853381406
391,25,211814.0,201629,91.49645135056595
392,26,211814.0,201630,91.49645135056595
393,27,211814.0,201631,91.51790208566214
394,28,211814.0,201632,94.20025778039673
395,32,211814.0,201644,91.8034252404129
396,0,211901.0,201601,100.0
397,1,211901.0,201602,98.7582081989157
398,2,211901.0,201603,99.03283652187001
399,3,211901.0,201604,99.7387639219816
400,4,211901.0,201605,102.74371157695722
401,5,211901.0,201606,105.0520199664923
402,6,211901.0,201607,105.33241536185614
403,7,211901.0,201608,105.58975000409552
404,8,211901.0,201609,103.28175027221624
405,9,211901.0,201610,103.319840120296
406,17,211901.0,201611,102.8483899943891
407,18,211901.0,201612,102.53982857699229
408,19,211901.0,201613,99.93708194051759
409,20,211901.0,201614,100.69188426899464
410,21,211901.0,201615,100.84563668129832
411,22,211901.0,201616,100.84563668129832
412,23,211901.0,201617,101.62371909386711
413,24,211901.0,201618,101.80397566337815
414,25,211901.0,201619,103.07621347183277
415,26,211901.0,201620,102.451581051294
416,27,211901.0,201621,102.06531656308194
417,28,211901.0,201622,102.06531656308194
418,29,211901.0,201623,100.78284106377194
419,30,211901.0,201624,101.04347257075503
420,31,211901.0,201625,101.04347257075503
421,10,211901.0,201626,103.04349689083132
422,11,211901.0,201627,103.71893059173776
423,12,211901.0,201628,102.45404323652603
424,13,211901.0,201629,100.2911926285648
425,14,211901.0,201630,100.69548406171131
426,15,211901.0,201631,101.04912212862205
427,16,211901.0,201632,101.04912212862205
428,32,211901.0,201644,99.82203511835012
429,0,212006.0,201601,100.0
430,1,212006.0,201602,100.0
431,2,212006.0,201603,100.0
432,3,212006.0,201604,100.0
433,4,212006.0,201605,100.0
434,5,212006.0,201606,100.0
435,6,212006.0,201607,100.0
436,7,212006.0,201608,100.0
437,8,212006.0,201609,100.0
438,9,212006.0,201610,100.0
439,24,212006.0,201611,100.0
440,25,212006.0,201612,100.0
441,10,212006.0,201619,100
442,11,212006.0,201620,100
443,12,212006.0,201621,100
444,13,212006.0,201622,100
445,14,212006.0,201623,100
446,15,212006.0,201624,100
447,16,212006.0,201625,100
448,17,212006.0,201626,100
449,18,212006.0,201627,100
450,19,212006.0,201628,100
451,20,212006.0,201629,100
452,21,212006.0,201630,100
453,22,212006.0,201631,100
454,23,212006.0,201632,100
455,26,212006.0,201644,100
456,0,212011.0,201601,100.0
457,1,212011.0,201602,100.53732281625398
458,2,212011.0,201603,99.79922596915213
459,3,212011.0,201604,100.14641741175517
460,4,212011.0,201605,105.04387569402311
461,5,212011.0,201606,105.967721406525
462,6,212011.0,201607,104.95301856794252
463,7,212011.0,201608,99.73926831349657
464,8,212011.0,201609,105.62541317107619
465,9,212011.0,201610,105.1906340671954
466,10,212011.0,201611,99.51832206695228
467,11,212011.0,201612,97.93123760950292
468,12,212011.0,201613,98.95016480880467
469,13,212011.0,201614,97.71633795921409
470,14,212011.0,201615,97.44978870891235
471,15,212011.0,201616,96.52062640108797
472,16,212011.0,201617,101.10958235576317
473,17,212011.0,201618,103.16891070601754
474,18,212011.0,201619,103.16891070601754
475,19,212011.0,201620,100.33325616231062
476,20,212011.0,201621,99.8476767322578
477,21,212011.0,201622,93.93987991728477
478,22,212011.0,201623,93.24490051016852
479,23,212011.0,201624,93.50901214322386
480,24,212011.0,201625,93.50901214322386
481,25,212011.0,201626,93.50901214322387
482,26,212011.0,201627,95.94667257246088
483,27,212011.0,201628,101.74068318051074
484,28,212011.0,201629,93.42597536979758
485,29,212011.0,201630,93.83268454923291
486,30,212011.0,201631,94.47488371465317
487,31,212011.0,201632,94.47488371465317
488,32,212011.0,201644,92.33311809633224
489,0,212016.0,201601,100.0
490,1,212016.0,201602,98.31511877529859
491,2,212016.0,201603,97.48221557076944
492,3,212016.0,201604,96.66370757400988
493,4,212016.0,201605,97.39535347161504
494,5,212016.0,201606,98.6126692458473
495,6,212016.0,201607,98.35154923950265
496,7,212016.0,201608,94.80354749113049
497,8,212016.0,201609,93.35740473089353
498,9,212016.0,201610,93.16926390847198
499,19,212016.0,201611,96.78635788507995
500,18,212016.0,201612,95.45049966313735
501,10,212016.0,201613,92.81448143113144
502,11,212016.0,201614,89.89922928132843
503,12,212016.0,201615,89.63096382346379
504,13,212016.0,201616,92.88265008802391
505,14,212016.0,201617,95.19391813224199
506,15,212016.0,201618,95.47018719584956
507,16,212016.0,201619,94.20931822571511
508,17,212016.0,201620,93.2746065945598
509,20,212016.0,201621,95.88131805648682
510,21,212016.0,201622,99.40095817377647
511,22,212016.0,201623,100.0
512,23,212016.0,201624,100.0
513,24,212016.0,201625,94.74527155299806
514,25,212016.0,201626,92.72152434250161
515,26,212016.0,201627,92.72152434250161
516,27,212016.0,201628,98.33469876908791
517,28,212016.0,201629,100.0
518,29,212016.0,201630,100.0
519,30,212016.0,201631,93.42274784012857
520,31,212016.0,201632,92.41737542583077
521,32,212016.0,201644,92.34672660597619
522,3,212017.0,201601,100.0
523,4,212017.0,201602,102.67288490217112
524,5,212017.0,201603,98.7494828016144
525,6,212017.0,201604,96.63024951304247
526,7,212017.0,201605,102.44940783272985
527,2,212017.0,201606,104.23048790026408
528,0,212017.0,201607,104.10011308469707
529,1,212017.0,201608,97.60719111053476
530,8,212017.0,201609,105.44331304470606
531,9,212017.0,201610,101.09919119039914
532,24,212017.0,201611,96.19460164371807
533,25,212017.0,201612,102.29983096092381
534,26,212017.0,201613,104.23385462718846
535,27,212017.0,201614,103.5523048195024
536,28,212017.0,201615,102.7028766473632
537,29,212017.0,201616,94.40769974187585
538,30,212017.0,201617,88.51379679728076
539,31,212017.0,201618,89.93115775289755
540,10,212017.0,201619,93.25344647282856
541,11,212017.0,201620,98.81337748809071
542,12,212017.0,201621,101.7313051783381
543,13,212017.0,201622,93.48785667230969
544,14,212017.0,201623,93.08760106659658
545,15,212017.0,201624,93.63787170624623
546,16,212017.0,201625,97.76728330893411
547,17,212017.0,201626,95.12932992373536
548,18,212017.0,201627,95.12932992373536
549,19,212017.0,201628,102.97262879499051
550,20,212017.0,201629,102.48808188189314
551,21,212017.0,201630,103.73869229400275
552,22,212017.0,201631,104.68665470609788
553,23,212017.0,201632,104.68665470609788
554,32,212017.0,201644,94.20445514484535
555,8,212319.0,201601,100.0
556,9,212319.0,201602,100.0
557,0,212319.0,201603,100.0
558,1,212319.0,201604,111.28959346677722
559,2,212319.0,201605,112.32956642420466
560,3,212319.0,201606,112.32956642420466
561,4,212319.0,201607,112.32956642420466
562,5,212319.0,201608,112.32956642420466
563,6,212319.0,201609,100.0
564,7,212319.0,201610,100.0
565,10,212319.0,201611,94.8257283947344
566,11,212319.0,201612,92.83177667225557
