,Top,period,weighted_index
0,Alcoholic Drinks,201423.0,100.0
1,Alcoholic Drinks,201424.0,99.8022478071
2,Alcoholic Drinks,201425.0,99.7024112177
3,Alcoholic Drinks,201426.0,99.7133423042
4,Alcoholic Drinks,201427.0,99.6436045607
5,Alcoholic Drinks,201428.0,99.8318541968
6,Alcoholic Drinks,201429.0,101.20484459
7,Alcoholic Drinks,201430.0,101.634821599
8,Alcoholic Drinks,201431.0,100.891050096
9,Alcoholic Drinks,201432.0,100.889526786
10,Alcoholic Drinks,201433.0,100.177880496
11,Alcoholic Drinks,201434.0,100.088265082
12,Alcoholic Drinks,201435.0,100.046454849
13,Alcoholic Drinks,201436.0,99.1362289736
14,Alcoholic Drinks,201437.0,98.9554934452
15,Alcoholic Drinks,201438.0,100.025976917
16,Alcoholic Drinks,201439.0,99.9468034205
17,Alcoholic Drinks,201440.0,99.9263627851
18,Alcoholic Drinks,201441.0,100.216252545
19,Alcoholic Drinks,201442.0,99.7696674456
20,Alcoholic Drinks,201443.0,99.1061178157
21,Alcoholic Drinks,201444.0,98.5353953802
22,Alcoholic Drinks,201445.0,98.1755206631
23,Alcoholic Drinks,201446.0,98.0746835493
24,Alcoholic Drinks,201447.0,98.3829250868
25,Alcoholic Drinks,201448.0,97.6221392799
26,Alcoholic Drinks,201449.0,96.7488410288
27,Alcoholic Drinks,201450.0,96.6383660796
28,Alcoholic Drinks,201451.0,96.2948130191
29,Alcoholic Drinks,201452.0,97.000317434
30,Alcoholic Drinks,201501.0,98.1244067061
31,Alcoholic Drinks,201502.0,98.209958361
32,Alcoholic Drinks,201503.0,98.2480873103
33,Alcoholic Drinks,201504.0,98.7513275118
34,Alcoholic Drinks,201505.0,98.8045373779
35,Alcoholic Drinks,201506.0,98.732793836
36,Alcoholic Drinks,201507.0,98.5070329343
37,Alcoholic Drinks,201508.0,98.4780227166
38,Alcoholic Drinks,201509.0,98.4770529088
39,Alcoholic Drinks,201510.0,98.2078753681
40,Alcoholic Drinks,201511.0,97.626863681
41,Alcoholic Drinks,201512.0,97.4659455744
42,Alcoholic Drinks,201513.0,96.020466303
43,Alcoholic Drinks,201514.0,95.823412124
