,GEKS,ons_item_no,i,period
0,100.0,210111.0,0.0,201423.0
1,99.5719316266,210111.0,1.0,201424.0
2,99.6423848791,210111.0,2.0,201425.0
3,99.7974098757,210111.0,3.0,201426.0
4,99.4903164262,210111.0,4.0,201427.0
5,99.3789518899,210111.0,5.0,201428.0
6,99.5931288613,210111.0,6.0,201429.0
7,99.4917242179,210111.0,7.0,201430.0
8,99.388062601,210111.0,8.0,201431.0
9,98.2743735419,210111.0,9.0,201432.0
10,97.8884849223,210111.0,10.0,201433.0
11,98.8539900477,210111.0,11.0,201434.0
12,98.4099466697,210111.0,12.0,201435.0
13,97.4005733221,210111.0,13.0,201436.0
14,97.0584256429,210111.0,14.0,201437.0
15,97.4482474796,210111.0,15.0,201438.0
16,98.3086984907,210111.0,16.0,201439.0
17,98.5692249895,210111.0,17.0,201440.0
18,97.9329228383,210111.0,18.0,201441.0
19,96.8918908783,210111.0,19.0,201442.0
20,96.7415613205,210111.0,20.0,201443.0
21,96.3330634249,210111.0,21.0,201444.0
22,96.1314641337,210111.0,22.0,201445.0
23,97.9288864416,210111.0,23.0,201446.0
24,97.3667930504,210111.0,24.0,201447.0
25,96.3602473999,210111.0,25.0,201448.0
26,95.9743355101,210111.0,26.0,201449.0
27,96.4507519898,210111.0,27.0,201450.0
28,96.7729017997,210111.0,28.0,201451.0
29,96.6416409842,210111.0,29.0,201452.0
30,95.4448960233,210111.0,30.0,201501.0
31,89.8058636033,210111.0,31.0,201502.0
32,80.8456501377,210111.0,32.0,201503.0
33,79.1792252084,210111.0,33.0,201504.0
34,87.8270471548,210111.0,34.0,201505.0
35,91.2751088879,210111.0,35.0,201506.0
36,91.7270548678,210111.0,36.0,201507.0
37,91.7486113725,210111.0,37.0,201508.0
38,91.3191248666,210111.0,38.0,201509.0
39,91.267562929,210111.0,39.0,201510.0
40,91.4968671714,210111.0,40.0,201511.0
41,91.5716696893,210111.0,41.0,201512.0
42,90.1611168219,210111.0,42.0,201513.0
43,89.5509867235,210111.0,43.0,201514.0
44,90.4029258186,210111.0,44.0,201515.0
45,89.9955378455,210111.0,45.0,201516.0
46,89.8220956868,210111.0,46.0,201517.0
47,90.3075417678,210111.0,47.0,201518.0
48,90.6480107149,210111.0,48.0,201519.0
49,90.1836443645,210111.0,49.0,201520.0
50,89.0865520526,210111.0,50.0,201521.0
51,90.083742259,210111.0,51.0,201522.0
52,90.0407663371,210111.0,52.0,201523.0
53,90.0140482735,210111.0,53.0,201524.0
54,92.7273345194,210111.0,54.0,201525.0
55,92.0764815341,210111.0,55.0,201526.0
56,87.61446371,210111.0,56.0,201527.0
57,87.5329129116,210111.0,57.0,201528.0
58,87.0241578709,210111.0,58.0,201529.0
59,87.1132567056,210111.0,59.0,201530.0
60,87.0204975323,210111.0,60.0,201531.0
61,86.911906447,210111.0,61.0,201532.0
62,86.9583078149,210111.0,62.0,201533.0
63,86.7367779047,210111.0,63.0,201534.0
64,87.0309631908,210111.0,64.0,201535.0
65,86.7934681016,210111.0,65.0,201536.0
66,87.0591353445,210111.0,66.0,201537.0
67,86.2835438147,210111.0,67.0,201538.0
68,86.0696121346,210111.0,68.0,201539.0
69,86.4482975682,210111.0,69.0,201540.0
70,86.0751014717,210111.0,70.0,201541.0
71,85.4734837739,210111.0,71.0,201542.0
72,84.7960457749,210111.0,72.0,201544.0
73,84.3754993262,210111.0,73.0,201545.0
74,83.4468783926,210111.0,74.0,201546.0
75,82.3895396808,210111.0,75.0,201547.0
76,82.3996127514,210111.0,76.0,201548.0
77,83.6327802394,210111.0,77.0,201549.0
78,83.6512996504,210111.0,78.0,201550.0
79,84.2080055696,210111.0,79.0,201551.0
80,83.976438321,210111.0,80.0,201552.0
81,84.2717067537,210111.0,81.0,201601.0
82,82.7959569613,210111.0,82.0,201602.0
83,83.3765212698,210111.0,83.0,201603.0
84,83.4874199131,210111.0,84.0,201604.0
85,83.541126993,210111.0,85.0,201605.0
86,83.4796212762,210111.0,86.0,201606.0
87,82.4012529062,210111.0,87.0,201607.0
88,82.5170688365,210111.0,88.0,201608.0
89,82.0905710904,210111.0,89.0,201609.0
90,80.885141363,210111.0,90.0,201610.0
91,82.9255612748,210111.0,91.0,201611.0
92,83.3795107789,210111.0,92.0,201612.0
93,83.3588208434,210111.0,93.0,201613.0
94,82.9177396153,210111.0,94.0,201614.0
95,82.8935708351,210111.0,95.0,201615.0
96,82.8787461322,210111.0,96.0,201616.0
97,82.9075739976,210111.0,97.0,201617.0
98,82.4956034519,210111.0,98.0,201618.0
99,80.4614673879,210111.0,99.0,201619.0
100,76.6791032891,210111.0,100.0,201620.0
101,76.7462903915,210111.0,101.0,201621.0
102,76.7419296721,210111.0,102.0,201622.0
103,76.7381298847,210111.0,103.0,201623.0
104,77.4740680555,210111.0,104.0,201624.0
105,77.5295602761,210111.0,105.0,201625.0
106,77.4376995102,210111.0,106.0,201626.0
107,77.4426295637,210111.0,107.0,201627.0
108,77.1261421772,210111.0,108.0,201628.0
109,77.1261421772,210111.0,109.0,201629.0
110,77.1261421772,210111.0,110.0,201630.0
111,77.9712823016,210111.0,111.0,201631.0
112,77.9711966802,210111.0,112.0,201632.0
113,81.1550101466,210111.0,113.0,201644.0
114,100.0,210113.0,0.0,201423.0
115,100.042254808,210113.0,1.0,201424.0
116,100.245072445,210113.0,2.0,201425.0
117,100.354088161,210113.0,3.0,201426.0
118,100.209049401,210113.0,4.0,201427.0
119,99.8250237203,210113.0,5.0,201428.0
120,99.5271205345,210113.0,6.0,201429.0
121,99.6083761118,210113.0,7.0,201430.0
122,99.5851173046,210113.0,8.0,201431.0
123,100.002933933,210113.0,9.0,201432.0
124,100.103155906,210113.0,10.0,201433.0
125,100.079390281,210113.0,11.0,201434.0
126,98.9060160902,210113.0,12.0,201435.0
127,97.9377943955,210113.0,13.0,201436.0
128,98.2048102018,210113.0,14.0,201437.0
129,99.2464195584,210113.0,15.0,201438.0
130,99.7994559889,210113.0,16.0,201439.0
131,96.9249410414,210113.0,17.0,201440.0
132,95.3543342439,210113.0,18.0,201441.0
133,94.679121905,210113.0,19.0,201442.0
134,94.3873868917,210113.0,20.0,201443.0
135,95.497037065,210113.0,21.0,201444.0
136,97.5535741239,210113.0,22.0,201445.0
137,97.9457375566,210113.0,23.0,201446.0
138,98.2848962134,210113.0,24.0,201447.0
139,98.3877434908,210113.0,25.0,201448.0
140,98.3789829569,210113.0,26.0,201449.0
141,98.7667752362,210113.0,27.0,201450.0
142,99.110055891,210113.0,28.0,201451.0
143,98.6925051167,210113.0,29.0,201452.0
144,96.8343001801,210113.0,30.0,201501.0
145,95.6509182736,210113.0,31.0,201502.0
146,92.8758353678,210113.0,32.0,201503.0
147,91.204412191,210113.0,33.0,201504.0
148,94.6841131052,210113.0,34.0,201505.0
149,93.2729296006,210113.0,35.0,201506.0
150,93.517048163,210113.0,36.0,201507.0
151,93.391006051,210113.0,37.0,201508.0
152,93.3816817708,210113.0,38.0,201509.0
153,93.3307782589,210113.0,39.0,201510.0
154,93.3243298973,210113.0,40.0,201511.0
155,93.496939202,210113.0,41.0,201512.0
156,93.3432938966,210113.0,42.0,201513.0
157,91.8793575455,210113.0,43.0,201514.0
158,91.2321505063,210113.0,44.0,201515.0
159,90.7619937768,210113.0,45.0,201516.0
160,91.3515923311,210113.0,46.0,201517.0
161,91.7492246151,210113.0,47.0,201518.0
162,91.8113311065,210113.0,48.0,201519.0
163,90.7051612115,210113.0,49.0,201520.0
164,89.1458813163,210113.0,50.0,201521.0
165,90.3543315261,210113.0,51.0,201522.0
166,91.2700258794,210113.0,52.0,201523.0
167,91.9533079882,210113.0,53.0,201524.0
168,91.1888169747,210113.0,54.0,201525.0
169,90.0522399264,210113.0,55.0,201526.0
170,89.4066943706,210113.0,56.0,201527.0
171,89.2828025002,210113.0,57.0,201528.0
172,89.4248904898,210113.0,58.0,201529.0
173,88.956884415,210113.0,59.0,201530.0
174,88.825353794,210113.0,60.0,201531.0
175,88.2395328361,210113.0,61.0,201532.0
176,87.6368855402,210113.0,62.0,201533.0
177,86.841465539,210113.0,63.0,201534.0
178,86.9810920194,210113.0,64.0,201535.0
179,86.6805770156,210113.0,65.0,201536.0
180,86.8326238526,210113.0,66.0,201537.0
181,86.6629458875,210113.0,67.0,201538.0
182,86.5052657075,210113.0,68.0,201539.0
183,86.7494378058,210113.0,69.0,201540.0
184,86.5181893941,210113.0,70.0,201541.0
185,86.0314702451,210113.0,71.0,201542.0
186,85.9667485613,210113.0,72.0,201544.0
187,85.4265996952,210113.0,73.0,201545.0
188,84.5927284354,210113.0,74.0,201546.0
189,83.9344084137,210113.0,75.0,201547.0
190,84.1514937322,210113.0,76.0,201548.0
191,84.6975344102,210113.0,77.0,201549.0
192,84.5817356947,210113.0,78.0,201550.0
193,85.0625664721,210113.0,79.0,201551.0
194,84.6444490068,210113.0,80.0,201552.0
195,84.452951226,210113.0,81.0,201601.0
196,83.9311129153,210113.0,82.0,201602.0
197,84.7769601694,210113.0,83.0,201603.0
198,85.3474284053,210113.0,84.0,201604.0
199,84.850022328,210113.0,85.0,201605.0
200,85.4646748655,210113.0,86.0,201606.0
201,84.8441212731,210113.0,87.0,201607.0
202,84.7542186297,210113.0,88.0,201608.0
203,84.8296379605,210113.0,89.0,201609.0
204,85.6007567479,210113.0,90.0,201610.0
205,81.7506345326,210113.0,91.0,201611.0
206,81.9059455309,210113.0,92.0,201612.0
207,81.8837787239,210113.0,93.0,201613.0
208,81.7335517166,210113.0,94.0,201614.0
209,82.0389212957,210113.0,95.0,201615.0
210,82.0703841416,210113.0,96.0,201616.0
211,81.7092974726,210113.0,97.0,201617.0
212,80.8777229202,210113.0,98.0,201618.0
213,75.5434329852,210113.0,99.0,201619.0
214,73.9705887241,210113.0,100.0,201620.0
215,75.6220775053,210113.0,101.0,201621.0
216,75.5871183436,210113.0,102.0,201622.0
217,75.5526602027,210113.0,103.0,201623.0
218,76.633062208,210113.0,104.0,201624.0
219,77.8884146194,210113.0,105.0,201625.0
220,77.8580790265,210113.0,106.0,201626.0
221,77.8370041239,210113.0,107.0,201627.0
222,73.2651453177,210113.0,108.0,201628.0
223,73.2651453177,210113.0,109.0,201629.0
224,73.2651453177,210113.0,110.0,201630.0
225,77.8163286904,210113.0,111.0,201631.0
226,77.7960414757,210113.0,112.0,201632.0
227,84.7131702915,210113.0,113.0,201644.0
228,100.0,210204.0,0.0,201423.0
229,100.891083993,210204.0,1.0,201424.0
230,99.0399431362,210204.0,2.0,201425.0
231,99.9523983145,210204.0,3.0,201426.0
232,100.422551774,210204.0,4.0,201427.0
233,101.060074576,210204.0,5.0,201428.0
234,101.239408887,210204.0,6.0,201429.0
235,101.551461311,210204.0,7.0,201430.0
236,99.5032898123,210204.0,8.0,201431.0
237,103.038446691,210204.0,9.0,201432.0
238,104.1288582,210204.0,10.0,201433.0
239,103.743847615,210204.0,11.0,201434.0
240,103.367887871,210204.0,12.0,201435.0
241,103.329838281,210204.0,13.0,201436.0
242,102.089946735,210204.0,14.0,201437.0
243,98.2966774197,210204.0,15.0,201438.0
244,98.2313824758,210204.0,16.0,201439.0
245,98.5454045331,210204.0,17.0,201440.0
246,98.5921747707,210204.0,18.0,201441.0
247,99.3587200917,210204.0,19.0,201442.0
248,99.3950108774,210204.0,20.0,201443.0
249,101.006997409,210204.0,21.0,201444.0
250,101.340711387,210204.0,22.0,201445.0
251,95.4329693879,210204.0,23.0,201446.0
252,91.5857504979,210204.0,24.0,201447.0
253,91.6255552173,210204.0,25.0,201448.0
254,92.4064337984,210204.0,26.0,201449.0
255,92.171866335,210204.0,27.0,201450.0
256,92.1440040839,210204.0,28.0,201451.0
257,91.5200390862,210204.0,29.0,201452.0
258,90.0103864398,210204.0,30.0,201501.0
259,88.7612793281,210204.0,31.0,201502.0
260,89.1416185192,210204.0,32.0,201503.0
261,88.8121576341,210204.0,33.0,201504.0
262,88.7022060904,210204.0,34.0,201505.0
263,89.4332548015,210204.0,35.0,201506.0
264,91.4292658945,210204.0,36.0,201507.0
265,95.0713697471,210204.0,37.0,201508.0
266,94.4105670861,210204.0,38.0,201509.0
267,91.9473045393,210204.0,39.0,201510.0
268,91.5520503406,210204.0,40.0,201511.0
269,93.3125885739,210204.0,41.0,201512.0
270,94.7828819679,210204.0,42.0,201513.0
271,94.8368404749,210204.0,43.0,201514.0
272,92.9061036957,210204.0,44.0,201515.0
273,91.5567565342,210204.0,45.0,201516.0
274,91.470311596,210204.0,46.0,201517.0
275,92.9215033764,210204.0,47.0,201518.0
276,94.0452925405,210204.0,48.0,201519.0
277,93.8464776263,210204.0,49.0,201520.0
278,92.6564449426,210204.0,50.0,201521.0
279,91.3478594461,210204.0,51.0,201522.0
280,91.3607404978,210204.0,52.0,201523.0
281,92.9637342123,210204.0,53.0,201524.0
282,91.967839289,210204.0,54.0,201525.0
283,92.0061902827,210204.0,55.0,201526.0
284,92.0558833349,210204.0,56.0,201527.0
285,89.5991023087,210204.0,57.0,201528.0
286,90.089694462,210204.0,58.0,201529.0
287,92.1019602902,210204.0,59.0,201530.0
288,94.5484974298,210204.0,60.0,201531.0
289,94.260031765,210204.0,61.0,201532.0
290,93.8456509415,210204.0,62.0,201533.0
291,91.709967649,210204.0,63.0,201534.0
292,91.4626422739,210204.0,64.0,201535.0
293,89.8481128206,210204.0,65.0,201536.0
294,88.508539475,210204.0,66.0,201537.0
295,87.6390375695,210204.0,67.0,201538.0
296,86.2055802444,210204.0,68.0,201539.0
297,87.0454721337,210204.0,69.0,201540.0
298,89.7433538345,210204.0,70.0,201541.0
299,89.9029156182,210204.0,71.0,201542.0
300,87.593867091,210204.0,72.0,201544.0
301,87.6384227367,210204.0,73.0,201545.0
302,87.2364658582,210204.0,74.0,201546.0
303,84.8629835677,210204.0,75.0,201547.0
304,84.1371495848,210204.0,76.0,201548.0
305,84.1337251778,210204.0,77.0,201549.0
306,84.1292433854,210204.0,78.0,201550.0
307,83.7701682127,210204.0,79.0,201551.0
308,84.5101052088,210204.0,80.0,201552.0
309,85.1025897674,210204.0,81.0,201601.0
310,83.6161057559,210204.0,82.0,201602.0
311,83.3913084788,210204.0,83.0,201603.0
312,84.7651597161,210204.0,84.0,201604.0
313,88.4938057154,210204.0,85.0,201605.0
314,89.073976492,210204.0,86.0,201606.0
315,88.502842851,210204.0,87.0,201607.0
316,89.3098193493,210204.0,88.0,201608.0
317,89.5741296158,210204.0,89.0,201609.0
318,86.6564318326,210204.0,90.0,201610.0
319,85.523010455,210204.0,91.0,201611.0
320,86.0635368837,210204.0,92.0,201612.0
321,86.0586976418,210204.0,93.0,201613.0
322,87.6655852872,210204.0,94.0,201614.0
323,88.0114995339,210204.0,95.0,201615.0
324,83.4874032568,210204.0,96.0,201616.0
325,82.2422407935,210204.0,97.0,201617.0
326,83.6969328584,210204.0,98.0,201618.0
327,86.9013653581,210204.0,99.0,201619.0
328,87.5456264545,210204.0,100.0,201620.0
329,87.1440523888,210204.0,101.0,201621.0
330,87.057181665,210204.0,102.0,201622.0
331,83.8547229584,210204.0,103.0,201623.0
332,82.6954784805,210204.0,104.0,201624.0
333,82.7111206991,210204.0,105.0,201625.0
334,85.7115657424,210204.0,106.0,201626.0
335,87.4182086088,210204.0,107.0,201627.0
336,86.0721168638,210204.0,108.0,201628.0
337,82.8653897415,210204.0,109.0,201629.0
338,81.8384210616,210204.0,110.0,201630.0
339,82.2983093541,210204.0,111.0,201631.0
340,82.257154364,210204.0,112.0,201632.0
341,84.7445069891,210204.0,113.0,201644.0
342,100.0,210213.0,0.0,201423.0
343,99.1439664433,210213.0,1.0,201424.0
344,97.7478147656,210213.0,2.0,201425.0
345,97.4456802131,210213.0,3.0,201426.0
346,99.1439327098,210213.0,4.0,201427.0
347,99.9496605138,210213.0,5.0,201428.0
348,99.3644041928,210213.0,6.0,201429.0
349,99.443077001,210213.0,7.0,201430.0
350,99.4886558157,210213.0,8.0,201431.0
351,98.6628345287,210213.0,9.0,201432.0
352,99.3627651478,210213.0,10.0,201433.0
353,98.157354559,210213.0,11.0,201434.0
354,98.5194391518,210213.0,12.0,201435.0
355,100.835053475,210213.0,13.0,201436.0
356,100.951781079,210213.0,14.0,201437.0
357,100.702684518,210213.0,15.0,201438.0
358,100.758303014,210213.0,16.0,201439.0
359,98.6513052995,210213.0,17.0,201440.0
360,98.3202689891,210213.0,18.0,201441.0
361,99.5352426954,210213.0,19.0,201442.0
362,101.2435227,210213.0,20.0,201443.0
363,102.011784284,210213.0,21.0,201444.0
364,102.451807808,210213.0,22.0,201445.0
365,101.236286076,210213.0,23.0,201446.0
366,101.167698863,210213.0,24.0,201447.0
367,101.194693569,210213.0,25.0,201448.0
368,100.736885476,210213.0,26.0,201449.0
369,101.466466166,210213.0,27.0,201450.0
370,102.749741404,210213.0,28.0,201451.0
371,102.876443984,210213.0,29.0,201452.0
372,102.979451432,210213.0,30.0,201501.0
373,102.237591895,210213.0,31.0,201502.0
374,101.064974534,210213.0,32.0,201503.0
375,100.283952907,210213.0,33.0,201504.0
376,100.782230019,210213.0,34.0,201505.0
377,100.835669742,210213.0,35.0,201506.0
378,100.0043984,210213.0,36.0,201507.0
379,100.110918942,210213.0,37.0,201508.0
380,99.0996743728,210213.0,38.0,201509.0
381,99.6090898306,210213.0,39.0,201510.0
382,98.6258726094,210213.0,40.0,201511.0
383,99.6220565377,210213.0,41.0,201512.0
384,102.321141293,210213.0,42.0,201513.0
385,101.363499281,210213.0,43.0,201514.0
386,101.502285469,210213.0,44.0,201515.0
387,101.570837245,210213.0,45.0,201516.0
388,100.731896364,210213.0,46.0,201517.0
389,101.462290331,210213.0,47.0,201518.0
390,100.602922705,210213.0,48.0,201519.0
391,99.9498729226,210213.0,49.0,201520.0
392,100.606450975,210213.0,50.0,201521.0
393,100.790220583,210213.0,51.0,201522.0
394,100.570594124,210213.0,52.0,201523.0
395,100.704706176,210213.0,53.0,201524.0
396,99.1196568967,210213.0,54.0,201525.0
397,99.0539222525,210213.0,55.0,201526.0
398,99.1341185525,210213.0,56.0,201527.0
399,99.3192368858,210213.0,57.0,201528.0
400,98.7976617346,210213.0,58.0,201529.0
401,98.0398298716,210213.0,59.0,201530.0
402,98.2343127222,210213.0,60.0,201531.0
403,96.3360116098,210213.0,61.0,201532.0
404,96.8704043986,210213.0,62.0,201533.0
405,96.5383188013,210213.0,63.0,201534.0
406,97.5854183093,210213.0,64.0,201535.0
407,98.4951591565,210213.0,65.0,201536.0
408,96.2049592275,210213.0,66.0,201537.0
409,96.3175529722,210213.0,67.0,201538.0
410,95.6469678115,210213.0,68.0,201539.0
411,96.1545012566,210213.0,69.0,201540.0
412,97.3673514663,210213.0,70.0,201541.0
413,99.0265572523,210213.0,71.0,201542.0
414,99.4644542525,210213.0,72.0,201544.0
415,99.5758156441,210213.0,73.0,201545.0
416,98.2915374347,210213.0,74.0,201546.0
417,96.9940370145,210213.0,75.0,201547.0
418,98.2139179173,210213.0,76.0,201548.0
419,100.430798085,210213.0,77.0,201549.0
