,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,level_3,period,weighted_index,,
0,0,0,0,0,alcoholic_drinks ,201406,100,100,100
1,1,1,1,1,alcoholic_drinks ,201407,100.9555178444,101.1338695078,101.1338695078
2,2,2,2,2,alcoholic_drinks ,201408,100.7814529751,101.0574452629,101.0574452629
3,3,3,3,3,alcoholic_drinks ,201409,99.8999033288,100.0940419016,100.0940419016
4,4,4,4,4,alcoholic_drinks ,201410,100.5854721355,100.7352771541,100.7352771541
5,5,5,5,5,alcoholic_drinks ,201411,99.1705239486,100.6332459256,100.6332459256
6,6,6,6,6,alcoholic_drinks ,201412,96.7365411628,97.9116426792,97.9116426792
7,7,7,7,7,alcoholic_drinks ,201501,98.4370707802,99.8911414284,99.8911414284
8,8,8,8,1,alcoholic_drinks ,201502,99.2272298293,100.8231312389,100.8231312389
9,9,9,9,2,alcoholic_drinks ,201503,98.8351644736,100.4617128156,100.4617128156
10,10,10,10,3,alcoholic_drinks ,201504,97.9456344096,99.4982623161,99.4982623161
11,11,11,11,4,alcoholic_drinks ,201505,98.5408833387,100.3271349854,100.3271349854
12,12,12,12,5,alcoholic_drinks ,201506,98.2329126353,100.0131506374,100.0131506374
13,13,13,13,6,alcoholic_drinks ,201507,98.6488810368,99.7726301774,99.7726301774
14,14,14,14,7,alcoholic_drinks ,201508,98.2155156583,99.4591618066,99.4591618066
15,15,15,15,8,alcoholic_drinks ,201509,96.1683091722,97.8282586612,97.8282586612
16,16,16,16,9,alcoholic_drinks ,201510,95.4231398624,98.2586678413,98.2586678413
17,17,17,17,10,alcoholic_drinks ,201511,95.3634212535,97.7466565974,97.7466565974
18,18,18,18,11,alcoholic_drinks ,201512,95.2937554292,97.6540120975,97.6540120975
19,19,19,19,12,alcoholic_drinks ,201601,95.8467056763,99.9103404041,99.9103404041
20,20,1,,,alcoholic_drinks ,201602,96.215562277,100.0005550031,100.0005550031
21,21,2,,,alcoholic_drinks ,201603,96.4643132336,101.3422735002,101.3422735002
22,22,3,,,alcoholic_drinks ,201604,95.8461816026,100.4354268536,100.4354268536
23,23,4,,,alcoholic_drinks ,201605,95.5058917148,100.3117080236,100.3117080236
24,24,5,,,alcoholic_drinks ,201606,96.6968969734,101.9032409788,101.9032409788
25,25,6,,,alcoholic_drinks ,201607,97.3125330573,102.9125169827,102.9125169827
26,26,7,,,alcoholic_drinks ,201608,96.530931187,102.1248831602,102.1248831602
27,27,8,,,alcoholic_drinks ,201610,96.5248860173,103.4058409579,103.4058409579
28,0,20,0,8,food_and_non_alcoholic_beverages,201406,99.99999999,,
29,1,21,1,9,food_and_non_alcoholic_beverages,201407,100.4954683093,,
30,2,22,2,10,food_and_non_alcoholic_beverages,201408,100.4676395399,,
31,3,23,3,11,food_and_non_alcoholic_beverages,201409,99.6506504751,,
32,4,24,4,12,food_and_non_alcoholic_beverages,201410,97.5465405034,,
33,5,25,5,13,food_and_non_alcoholic_beverages,201411,99.2321756165,,
34,6,26,6,14,food_and_non_alcoholic_beverages,201412,100.0591403109,,
35,7,27,7,15,food_and_non_alcoholic_beverages,201501,97.3627105742,,
36,8,28,8,14,food_and_non_alcoholic_beverages,201502,100.1834592168,,
37,9,29,9,15,food_and_non_alcoholic_beverages,201503,99.8498631071,,
38,10,30,10,16,food_and_non_alcoholic_beverages,201504,100.2698574128,,
39,11,31,11,17,food_and_non_alcoholic_beverages,201505,100.3807399346,,
40,12,32,12,18,food_and_non_alcoholic_beverages,201506,99.0135087486,,
41,13,33,13,19,food_and_non_alcoholic_beverages,201507,97.8728499306,,
42,14,34,14,20,food_and_non_alcoholic_beverages,201508,97.4712363998,,
43,15,35,15,21,food_and_non_alcoholic_beverages,201509,96.2902298291,,
44,16,36,16,22,food_and_non_alcoholic_beverages,201510,96.8479907778,,
45,17,37,17,23,food_and_non_alcoholic_beverages,201511,97.9197629679,,
46,18,38,18,24,food_and_non_alcoholic_beverages,201512,99.0979340091,,
47,19,39,19,25,food_and_non_alcoholic_beverages,201601,95.3146243732,,
48,20,10,,,food_and_non_alcoholic_beverages,201602,97.8112003936,,
49,21,11,,,food_and_non_alcoholic_beverages,201603,96.7246243511,,
50,22,12,,,food_and_non_alcoholic_beverages,201604,92.9948546625,,
51,23,13,,,food_and_non_alcoholic_beverages,201605,99.8692261871,,
52,24,14,,,food_and_non_alcoholic_beverages,201606,99.6953881542,,
53,25,15,,,food_and_non_alcoholic_beverages,201607,99.0055778265,,
54,26,16,,,food_and_non_alcoholic_beverages,201608,98.8820262505,,
55,27,17,,,food_and_non_alcoholic_beverages,201610,94.4376965654,,
