,category,index,value,date
0,020000Alcoholic Beverages,Index0,100.0,01/06/14
1,020000Alcoholic Beverages,Index0,100.526481715,01/07/14
2,020000Alcoholic Beverages,Index0,100.458751653,01/08/14
3,020000Alcoholic Beverages,Index0,99.495663592,01/09/14
4,020000Alcoholic Beverages,Index0,99.7563865887,01/10/14
5,020000Alcoholic Beverages,Index0,98.2635384791,01/11/14
6,020000Alcoholic Beverages,Index0,96.7557520675,01/12/14
7,020000Alcoholic Beverages,Index0,98.3730316569,01/01/15
8,020000Alcoholic Beverages,Index0,98.6746735703,01/02/15
9,020000Alcoholic Beverages,Index0,98.017051293,01/03/15
10,020000Alcoholic Beverages,Index0,96.6454658228,01/04/15
11,020000Alcoholic Beverages,Index0,97.7767574981,01/05/15
12,020000Alcoholic Beverages,Index0,97.2426447562,01/06/15
13,020000Alcoholic Beverages,Index0,97.2083719475,01/07/15
14,020000Alcoholic Beverages,Index0,96.6944843485,01/08/15
15,020000Alcoholic Beverages,Index0,95.2947187308,01/09/15
16,020000Alcoholic Beverages,Index0,94.9256276636,01/10/15
17,020000Alcoholic Beverages,Index0,93.5039161668,01/11/15
18,020000Alcoholic Beverages,Index0,90.4103103723,01/12/15
19,020000Alcoholic Beverages,Index0,93.8290979891,01/01/16
20,020000Alcoholic Beverages,Index0,93.2434807574,01/02/16
21,020000Alcoholic Beverages,Index0,92.3912045172,01/03/16
22,020000Alcoholic Beverages,Index0,92.3202396378,01/04/16
23,020000Alcoholic Beverages,Index0,92.3384363107,01/05/16
24,020000Alcoholic Beverages,Index0,90.9254257371,01/06/16
25,020000Alcoholic Beverages,Index0,91.6829667138,01/07/16
26,020000Alcoholic Beverages,Index0,91.511082685,01/08/16
27,020000Alcoholic Beverages,Index0,92.6499845729,01/10/16
28,020000Alcoholic Beverages,Index0,92.5524208062,01/11/16
29,010000Food & Non-Alcoholic Beverages,Index0,98.0761971831,01/06/14
30,010000Food & Non-Alcoholic Beverages,Index0,98.0640592205,01/07/14
31,010000Food & Non-Alcoholic Beverages,Index0,97.6697825088,01/08/14
32,010000Food & Non-Alcoholic Beverages,Index0,97.3371657477,01/09/14
33,010000Food & Non-Alcoholic Beverages,Index0,97.4353177207,01/10/14
34,010000Food & Non-Alcoholic Beverages,Index0,98.7564487528,01/11/14
35,010000Food & Non-Alcoholic Beverages,Index0,98.9498505644,01/12/14
36,010000Food & Non-Alcoholic Beverages,Index0,95.559027106,01/01/15
37,010000Food & Non-Alcoholic Beverages,Index0,95.1116893328,01/02/15
38,010000Food & Non-Alcoholic Beverages,Index0,95.0724256992,01/03/15
39,010000Food & Non-Alcoholic Beverages,Index0,95.1449837469,01/04/15
40,010000Food & Non-Alcoholic Beverages,Index0,94.8606112608,01/05/15
41,010000Food & Non-Alcoholic Beverages,Index0,94.7470655683,01/06/15
42,010000Food & Non-Alcoholic Beverages,Index0,93.9302751271,01/07/15
43,010000Food & Non-Alcoholic Beverages,Index0,93.4213487049,01/08/15
44,010000Food & Non-Alcoholic Beverages,Index0,92.2727347655,01/09/15
45,010000Food & Non-Alcoholic Beverages,Index0,93.0299572042,01/10/15
46,010000Food & Non-Alcoholic Beverages,Index0,94.2117028073,01/11/15
47,010000Food & Non-Alcoholic Beverages,Index0,93.8911096833,01/12/15
48,010000Food & Non-Alcoholic Beverages,Index0,93.0090161676,01/01/16
49,010000Food & Non-Alcoholic Beverages,Index0,92.9936555121,01/02/16
50,010000Food & Non-Alcoholic Beverages,Index0,92.3638413144,01/03/16
51,010000Food & Non-Alcoholic Beverages,Index0,91.4529496247,01/04/16
52,010000Food & Non-Alcoholic Beverages,Index0,91.2783297906,01/05/16
53,010000Food & Non-Alcoholic Beverages,Index0,90.0184942653,01/06/16
54,010000Food & Non-Alcoholic Beverages,Index0,89.6889106561,01/07/16
55,010000Food & Non-Alcoholic Beverages,Index0,89.4381365708,01/08/16
56,010000Food & Non-Alcoholic Beverages,Index0,90.2767396696,01/10/16
57,010000Food & Non-Alcoholic Beverages,Index0,90.2632560863,01/11/16
0,020000Alcoholic Beverages,Index1,100.0,01/06/14
1,020000Alcoholic Beverages,Index1,100.521478659,01/07/14
2,020000Alcoholic Beverages,Index1,100.594198617,01/08/14
3,020000Alcoholic Beverages,Index1,99.7153928153,01/09/14
4,020000Alcoholic Beverages,Index1,99.8235157249,01/10/14
5,020000Alcoholic Beverages,Index1,98.4111868599,01/11/14
6,020000Alcoholic Beverages,Index1,96.9705483655,01/12/14
7,020000Alcoholic Beverages,Index1,98.4397405976,01/01/15
8,020000Alcoholic Beverages,Index1,98.7755952408,01/02/15
9,020000Alcoholic Beverages,Index1,98.2762048497,01/03/15
10,020000Alcoholic Beverages,Index1,96.8613410391,01/04/15
11,020000Alcoholic Beverages,Index1,97.9698443141,01/05/15
12,020000Alcoholic Beverages,Index1,97.0597458522,01/06/15
13,020000Alcoholic Beverages,Index1,97.4218274865,01/07/15
14,020000Alcoholic Beverages,Index1,96.7423195412,01/08/15
15,020000Alcoholic Beverages,Index1,95.41185306,01/09/15
16,020000Alcoholic Beverages,Index1,95.1446388743,01/10/15
17,020000Alcoholic Beverages,Index1,93.5347455732,01/11/15
18,020000Alcoholic Beverages,Index1,90.2122590387,01/12/15
19,020000Alcoholic Beverages,Index1,91.9487076025,01/01/16
20,020000Alcoholic Beverages,Index1,91.4328318465,01/02/16
21,020000Alcoholic Beverages,Index1,90.4150263789,01/03/16
22,020000Alcoholic Beverages,Index1,90.1563521399,01/04/16
23,020000Alcoholic Beverages,Index1,90.1020940643,01/05/16
24,020000Alcoholic Beverages,Index1,88.6692716838,01/06/16
25,020000Alcoholic Beverages,Index1,89.585990138,01/07/16
26,020000Alcoholic Beverages,Index1,89.5814319669,01/08/16
27,020000Alcoholic Beverages,Index1,90.2982487702,01/10/16
28,020000Alcoholic Beverages,Index1,90.3038405825,01/11/16
29,010000Food & Non-Alcoholic Beverages,Index1,99.99999999,01/06/14
30,010000Food & Non-Alcoholic Beverages,Index1,99.9952979398,01/07/14
31,010000Food & Non-Alcoholic Beverages,Index1,99.5680688472,01/08/14
32,010000Food & Non-Alcoholic Beverages,Index1,99.1311275955,01/09/14
33,010000Food & Non-Alcoholic Beverages,Index1,99.2186811653,01/10/14
34,010000Food & Non-Alcoholic Beverages,Index1,101.213461801,01/11/14
35,010000Food & Non-Alcoholic Beverages,Index1,100.130136434,01/12/14
36,010000Food & Non-Alcoholic Beverages,Index1,98.010568787,01/01/15
37,010000Food & Non-Alcoholic Beverages,Index1,98.1858614549,01/02/15
38,010000Food & Non-Alcoholic Beverages,Index1,98.0750544737,01/03/15
39,010000Food & Non-Alcoholic Beverages,Index1,98.8676891645,01/04/15
40,010000Food & Non-Alcoholic Beverages,Index1,98.7212946069,01/05/15
41,010000Food & Non-Alcoholic Beverages,Index1,98.0125118922,01/06/15
42,010000Food & Non-Alcoholic Beverages,Index1,97.8336279453,01/07/15
43,010000Food & Non-Alcoholic Beverages,Index1,97.2641993695,01/08/15
44,010000Food & Non-Alcoholic Beverages,Index1,96.4672817616,01/09/15
45,010000Food & Non-Alcoholic Beverages,Index1,98.0532006133,01/10/15
46,010000Food & Non-Alcoholic Beverages,Index1,97.7386686933,01/11/15
47,010000Food & Non-Alcoholic Beverages,Index1,97.1207543941,01/12/15
48,010000Food & Non-Alcoholic Beverages,Index1,93.8838514654,01/01/16
49,010000Food & Non-Alcoholic Beverages,Index1,95.0220815565,01/02/16
50,010000Food & Non-Alcoholic Beverages,Index1,93.8368168772,01/03/16
51,010000Food & Non-Alcoholic Beverages,Index1,88.4594187164,01/04/16
52,010000Food & Non-Alcoholic Beverages,Index1,92.1169861633,01/05/16
53,010000Food & Non-Alcoholic Beverages,Index1,91.6158222561,01/06/16
54,010000Food & Non-Alcoholic Beverages,Index1,91.7679456693,01/07/16
55,010000Food & Non-Alcoholic Beverages,Index1,91.5148716336,01/08/16
56,010000Food & Non-Alcoholic Beverages,Index1,92.7140031527,01/10/16
57,010000Food & Non-Alcoholic Beverages,Index1,92.7371271625,01/11/16
0,020000Alcoholic Beverages,Index2,100.0,01/06/14
1,020000Alcoholic Beverages,Index2,100.594790242,01/07/14
2,020000Alcoholic Beverages,Index2,100.486692712,01/08/14
3,020000Alcoholic Beverages,Index2,99.4320972603,01/09/14
4,020000Alcoholic Beverages,Index2,99.7268475726,01/10/14
5,020000Alcoholic Beverages,Index2,98.1735230252,01/11/14
6,020000Alcoholic Beverages,Index2,96.3540334612,01/12/14
7,020000Alcoholic Beverages,Index2,98.0626682169,01/01/15
8,020000Alcoholic Beverages,Index2,98.2107768421,01/02/15
9,020000Alcoholic Beverages,Index2,97.7879101276,01/03/15
10,020000Alcoholic Beverages,Index2,96.5896935071,01/04/15
11,020000Alcoholic Beverages,Index2,97.4674054877,01/05/15
12,020000Alcoholic Beverages,Index2,96.6419633989,01/06/15
13,020000Alcoholic Beverages,Index2,96.9690103424,01/07/15
14,020000Alcoholic Beverages,Index2,96.6800032442,01/08/15
15,020000Alcoholic Beverages,Index2,94.817139896,01/09/15
16,020000Alcoholic Beverages,Index2,93.7654797666,01/10/15
17,020000Alcoholic Beverages,Index2,92.1915032122,01/11/15
18,020000Alcoholic Beverages,Index2,90.2531813222,01/12/15
19,020000Alcoholic Beverages,Index2,93.1812767314,01/01/16
20,020000Alcoholic Beverages,Index2,92.7954609245,01/02/16
21,020000Alcoholic Beverages,Index2,91.6403278966,01/03/16
22,020000Alcoholic Beverages,Index2,91.6051064964,01/04/16
23,020000Alcoholic Beverages,Index2,91.4830951149,01/05/16
24,020000Alcoholic Beverages,Index2,90.215026404,01/06/16
25,020000Alcoholic Beverages,Index2,91.1989100065,01/07/16
