,Unnamed: 0,category,index,value,date
0,0,020000Alcoholic Beverages,Index0,100.0,09/06/14
1,1,020000Alcoholic Beverages,Index0,99.8022478071,16/06/14
2,2,020000Alcoholic Beverages,Index0,99.7024112177,23/06/14
3,3,020000Alcoholic Beverages,Index0,99.7133423042,30/06/14
4,4,020000Alcoholic Beverages,Index0,99.6436045607,07/07/14
5,5,020000Alcoholic Beverages,Index0,99.8318541968,14/07/14
6,6,020000Alcoholic Beverages,Index0,101.20484459,21/07/14
7,7,020000Alcoholic Beverages,Index0,101.634821599,28/07/14
8,8,020000Alcoholic Beverages,Index0,100.891050096,04/08/14
9,9,020000Alcoholic Beverages,Index0,100.889526786,11/08/14
10,10,020000Alcoholic Beverages,Index0,100.177880496,18/08/14
11,11,020000Alcoholic Beverages,Index0,100.088265082,25/08/14
12,12,020000Alcoholic Beverages,Index0,100.046454849,01/09/14
13,13,020000Alcoholic Beverages,Index0,99.1362289736,08/09/14
14,14,020000Alcoholic Beverages,Index0,98.9554934452,15/09/14
15,15,020000Alcoholic Beverages,Index0,100.025976917,22/09/14
16,16,020000Alcoholic Beverages,Index0,99.9468034205,29/09/14
17,17,020000Alcoholic Beverages,Index0,99.9263627851,06/10/14
18,18,020000Alcoholic Beverages,Index0,100.216252545,13/10/14
19,19,020000Alcoholic Beverages,Index0,99.7696674456,20/10/14
20,20,020000Alcoholic Beverages,Index0,99.1061178157,27/10/14
21,21,020000Alcoholic Beverages,Index0,98.5353953802,03/11/14
22,22,020000Alcoholic Beverages,Index0,98.1755206631,10/11/14
23,23,020000Alcoholic Beverages,Index0,98.0746835493,17/11/14
24,24,020000Alcoholic Beverages,Index0,98.3829250868,24/11/14
25,25,020000Alcoholic Beverages,Index0,97.6221392799,01/12/14
26,26,020000Alcoholic Beverages,Index0,96.7488410288,08/12/14
27,27,020000Alcoholic Beverages,Index0,96.6383660796,15/12/14
28,28,020000Alcoholic Beverages,Index0,96.2948130191,22/12/14
29,29,020000Alcoholic Beverages,Index0,97.000317434,29/12/14
30,30,020000Alcoholic Beverages,Index0,98.1244067061,05/01/15
31,31,020000Alcoholic Beverages,Index0,98.209958361,12/01/15
32,32,020000Alcoholic Beverages,Index0,98.2480873103,19/01/15
33,33,020000Alcoholic Beverages,Index0,98.7513275118,26/01/15
34,34,020000Alcoholic Beverages,Index0,98.8045373779,02/02/15
35,35,020000Alcoholic Beverages,Index0,98.732793836,09/02/15
36,36,020000Alcoholic Beverages,Index0,98.5070329343,16/02/15
37,37,020000Alcoholic Beverages,Index0,98.4780227166,23/02/15
38,38,020000Alcoholic Beverages,Index0,98.4770529088,02/03/15
39,39,020000Alcoholic Beverages,Index0,98.2078753681,09/03/15
40,40,020000Alcoholic Beverages,Index0,97.626863681,16/03/15
41,41,020000Alcoholic Beverages,Index0,97.4659455744,23/03/15
42,42,020000Alcoholic Beverages,Index0,96.020466303,30/03/15
43,43,020000Alcoholic Beverages,Index0,95.823412124,06/04/15
44,44,020000Alcoholic Beverages,Index0,95.9979965161,13/04/15
45,45,020000Alcoholic Beverages,Index0,97.3162805593,20/04/15
46,46,020000Alcoholic Beverages,Index0,98.2767701064,27/04/15
47,47,020000Alcoholic Beverages,Index0,98.1189697938,04/05/15
48,48,020000Alcoholic Beverages,Index0,97.9660668064,11/05/15
49,49,020000Alcoholic Beverages,Index0,97.4990246788,18/05/15
50,50,020000Alcoholic Beverages,Index0,97.3089605879,25/05/15
51,51,020000Alcoholic Beverages,Index0,97.3562517865,01/06/15
52,52,020000Alcoholic Beverages,Index0,97.1175292744,08/06/15
53,53,020000Alcoholic Beverages,Index0,97.0926879427,15/06/15
54,54,020000Alcoholic Beverages,Index0,96.8462692735,22/06/15
55,55,020000Alcoholic Beverages,Index0,96.8568803249,29/06/15
56,56,020000Alcoholic Beverages,Index0,97.2139704209,06/07/15
57,57,020000Alcoholic Beverages,Index0,97.3094071788,13/07/15
58,58,020000Alcoholic Beverages,Index0,97.1228289917,20/07/15
59,59,020000Alcoholic Beverages,Index0,97.0431495032,27/07/15
60,60,020000Alcoholic Beverages,Index0,97.1137547988,03/08/15
61,61,020000Alcoholic Beverages,Index0,96.914623788,10/08/15
62,62,020000Alcoholic Beverages,Index0,96.8400057855,17/08/15
63,63,020000Alcoholic Beverages,Index0,96.8157483283,24/08/15
64,64,020000Alcoholic Beverages,Index0,96.670924358,31/08/15
65,65,020000Alcoholic Beverages,Index0,96.0052315349,07/09/15
66,66,020000Alcoholic Beverages,Index0,95.4074486629,14/09/15
